,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
19,Best company I have ever worked at,5.0,"- Very smart, down to earth people. It is important for me to be at a company where I can learn from the people around me and I have never felt this is more true than at Adobe. 
- Everyone is very approachable. I have never felt like ""I can't talk to that person"". 
- Adobe as a company actually tries *hard* to do the right thing. When social issues have come up (internal or external), there has been a fairly open discussion and the companies actions have been transparent and understandable even when not everyone agrees with them.
- We have a huge amount of technical freedom and a rich and deep research organization always coming up with new things to try.","- We are still struggling to really nail our server offerings on the creative side. This is an opportunity -- if you are someone who shines in that arena we need you!
- We are dependent on our platform partners to be able to deliver the best experience to our customers. That can be problematic at times. 
- We build a lot of products beyond Photoshop and Acrobat. But not everyone outside Adobe knows that and almost everyone is going to ask you to fix a Photoshop/Acrobat problem at some point in your career (probably many times)",1 person found this review helpful,2021-06-08, Senior Computer Scientist ,San Jose, CA,Current Employee, more than 10 years
20,qwe,5.0,great company to work for,Top down executive decision making,Be the first to find this review helpful,2021-06-08," Group Manager, Product Marketing ",San Jose, CA,Current Employee,
21,Adobe is NOT a High Tech Company,3.0,"Always choose stable tech, most safe.
Will get experience on most popular tech and build your skill like that.
No adventure means no error.","No error means no fail, but failure actually helps to understand self.
Not a High Tech Company, important thing need to repeat.
No diversity.",Be the first to find this review helpful,2021-06-07, Senior Software Engineer ,San Jose, CA,Current Employee,
22,Great company,5.0,"Great company culture, friendly coworkers","Office has less ""benefits"" (i.e. snacks, free lunch) than other tech peers",Be the first to find this review helpful,2021-06-07, Manager ,San Jose, CA,Current Employee,
23,Great company,5.0,"Benefits, salary, PTO, Stock options",Internal politics can hinder opportunities for advancement,Be the first to find this review helpful,2021-06-07, Customer Success Manager ,New York, NY,Current Employee, more than 5 years
24,Great Company,5.0,"Great leadership, solutions, and benefits.",Getting big and a lot of red tape.,Be the first to find this review helpful,2021-06-04, Area Vice President of Sales ,Irvine, CA,Current Employee, more than 3 years
25,Great culture.. but where are the resources,4.0,"Strong culture, great/ industry leading products and solid work life balance",Lack of recourses to sell in an enterprise space.,Be the first to find this review helpful,2021-06-03, Senior Account Executive ,New York, NY,Current Employee,
26,Great Company,5.0,"Positive work environment, great benefits",Could be better about promoting internally. But over the last year they have improved in that area.,Be the first to find this review helpful,2021-06-03, Technical Support Analyst ,Lehi, UT,Current Employee,
27,"Great place to work, not as good for growth",5.0,"Chill, relaxed workplace. Everyone is very understanding and kind, the community is incredibly accepting.",There isn’t as much a sense of growth career wise as id like. At times i wish i was on another team but it can be hard to move teams when you are not a senior.,Be the first to find this review helpful,2021-06-02, User Experience Designer ,San Francisco, CA,Current Employee, more than 1 year
28,very good company,5.0,salaries are great and the team also,i dont have any cons,Be the first to find this review helpful,2021-06-02, Software Engineer ,Los Angeles, CA,Current Employee, more than 1 year
29,Amazing place,5.0,"Great leadership, great execution, forward thinking",Workforce highly distributed across the globe making collaboration more difficult,Be the first to find this review helpful,2021-06-02, Senior Director ,San Jose, CA,Former Employee, more than 8 years
30,"Great company, but department",2.0,Great company to work for. They take care of their employees. Tons of benefits and opportunities.,Department leadership does not have a vision and does not take care of their team. It feels like you work for a completely different company.,2 people found this review helpful,2021-06-02, Senior Network Engineer ,Seattle, WA,Current Employee,
31,Great company,3.0,Good Work life balance and employee experience,It’s an old company with hierarchy,Be the first to find this review helpful,2021-06-01, Data Engineer ,San Jose, CA,Current Employee, more than 3 years
32,Wonderful place to work,5.0,"Great work-life balance, company truly cares about employees, great colleagues, ground breaking work.","Salary on the lower side, growth is slow.",Be the first to find this review helpful,2021-06-01, Senior Computer Scientist ,San Jose, CA,Current Employee, more than 5 years
33,The best big company to work for,5.0,Supportive culture and lots of room to move,"It's a big company and there's some red (ahem) tape here and there, but the pros outweigh them",Be the first to find this review helpful,2021-05-30, Solutions Consultant ,Pasadena, CA,Current Employee,
34,No growth for internal candidates to develop further,1.0,"Great benefits, good facilities, good cafe","No growth for internal candidates to develop further, unless you know some one moving internally in the company is difficult. They prefer external candidates as compared to hiring some one within Adobe. The support teams supporting various enterprise products burn the midnight oil working weekends during the summer shutdown, winter shutdown doing an on-call rotation and don't get compensated. The senior management keeps talking about work life balance but when it comes to taking care of employees in a practical way they lack a vision. Other companies like Facebook, Ebay , Cisco who run the 24 hr operations have a dedicated NOC team, thats not the case here in Adobe where the teams are expected to do regular work and support the On call as well. It becomes 18hrs of work a single day very tiring and over whelming.",Be the first to find this review helpful,2021-05-29, Customer Success ,Lehi, UT,Current Employee,
35,Excellent Company Post-MBA!,5.0,"work-life balance, friendly colleagues, doesn't feel hierarchical","large company requires alignment with several stakeholder to get things done, meeting heavy culture",Be the first to find this review helpful,2021-05-27, Product Marketing Manager ,San Francisco, CA,Current Employee, less than 1 year
36,Dont do it,2.0,"Good salary, lots of opportunities","12+ hour days, benefits suck, way too political",3 people found this review helpful,2021-05-27, IT Director ,Tampa, FL,Current Employee,
37,Cards are stacked against you but at least you have great benefits,3.0,Adobe has great benefits and a great employee stock purchase program.,"Management treats employees like names on a spreadsheet. They do not care about your experience or strengths when considering new opportunities. Management does not lead, they are often unresponsive and unavailable to meet. 

It's very hard to get paid at Adobe. Lists are constantly changing, you are responsible for attrition, there is very little help in generating pipeline and managers are slow/hesitant to approve comp exceptions.

Quotas are unreasonably high and you do not have the support from management, BDRs, Inside Sales or Marketing to grow pipeline. Solutions Consultants are amazing but stretched too thin.

Forecast calls are terrifying. Management looks through opportunities in Salesforce and then interrogates seller in front of entire team.

Also, Adobe does not want to pay you. If you have a nice base, I think that they will give you a list and quota so high it's unattainable. You will not get a raise and if you do it could be applied to your variable.",5 people found this review helpful,2021-05-25, Enterprise Account Executive ,Chicago, IL,Former Employee, more than 1 year
38,Great place to work,5.0,"great place to work, great benefits, work culture",did not find any cons,Be the first to find this review helpful,2021-05-24, Senior Site Reliability Engineer ,San Jose, CA,Current Employee,
39,A Safe Place To Land,4.0,"great people, amazing benefits, easy path forward",can be difficult to install change in such a big company,Be the first to find this review helpful,2021-05-24, Strategic Development Manager ,New York, NY,Current Employee, more than 1 year
40,Solid company with plenty of runway for growth,5.0,"WLB, interesting work, fun culture at the Seattle site","Slow to promote people, depends greatly on the product you're working on. Pay is decent but not top tier.",Be the first to find this review helpful,2021-05-22, Computer Scientist II ,Seattle, WA,Current Employee, more than 5 years
41,Collaborative and people oriented company,5.0,"Work culture, leadership, people and learning opportunities",slow promotion cycles and frequent reorgs,Be the first to find this review helpful,2021-05-20, Marketing Specialist ,San Francisco, CA,Current Employee, more than 1 year
42,Great place to start a career and build a skillset,5.0,"Adobe did an incredible job providing resources to make life fun, convenient, and rewarding. The colleagues that you'll meet will likely be in your life far beyond this job, they find a way to acquire great people. It's a fun environment to work in!","There can sometimes be an absence of management, at least in the department I was at that time. It didn't seem to always be that way, but because of the amount of opportunity to grow within the company, there can sometimes be significant turnover. .",Be the first to find this review helpful,2021-05-20, Account Development Manager ,San Francisco, CA,Former Employee, more than 1 year
43,Inspired and Energized,5.0,Building products that matter every day.,Never enough time to get everything done.,Be the first to find this review helpful,2021-05-20, Executive ,New York, NY,Current Employee,
44,Good,4.0,Good place to work at,Relaxed work env. Nice growth,Be the first to find this review helpful,2021-05-18, Vice President ,Salt Lake City, UT,Current Employee,
45,Product Management,5.0,"Good culture
Nice offices
Smart people
Interesting products",Fast paced environment also means last minute changes. Other than that no big disadvantages.,Be the first to find this review helpful,2021-05-18, Anonymous Employee ,San Francisco, CA,Former Employee, more than 3 years
46,#AdobeLife,5.0,"The Adobe for All mindset, genuine people, and growth opportunity make Adobe a great place to work. They have inclusive benefits and so many resources to continue innovating yourself and the business. Adobe truly stays to their core values.","Most teams focus on hiring individuals with a college degree, when working experience can be just as impactful.",Be the first to find this review helpful,2021-05-18, Recruiter ,San Jose, CA,Current Employee,
47,Excellent Work life balance,5.0,"Friendly team members and manager
Excellent work life balance
Mental/Health days off during Covid
Approachable team members",Things can get a bit slow at times,Be the first to find this review helpful,2021-05-18, Software Engineer ,New York, NY,Current Employee, more than 1 year
48,Great company to work for,5.0,Very thoughtful company during COVID. Treats employees with respect. The pay is good and most of the products have a great upside,Work hours can be a bit intense,Be the first to find this review helpful,2021-05-17, Director ,New York, NY,Current Employee, more than 3 years
49,"well paid, uninspiring",4.0,Great amenities and laid back environment,"Feels bureaucratic, siloed, and fairly dispassionate",Be the first to find this review helpful,2021-05-17, User Experience Intern ,San Francisco, CA,Current Employee, less than 1 year
50,Great place to work,4.0,Company culture is great. Standard Bay Area benefits. Great colleagues.,Pay is below competing companies.,Be the first to find this review helpful,2021-05-15, Researcher ,San Francisco, CA,Current Employee,
51,"Great Company, Amazing benefits",5.0,"Overall, great company to work for with amazing benefits","- Taking advantage of education benefits is contingent on managerial approval which may have difficulty
- Slow to get anything done",Be the first to find this review helpful,2021-05-14, Senior Security Engineer ,Austin, TX,Current Employee, more than 3 years
52,Adobe is a Horrible Place to Work,1.0,"Adobe has a global brand. Adobe has a love for Adobe. Adobe states they care about parity. Adobe works to includes minority groups, but excludes others.","Adobe works to includes minority groups, but excludes others. Adobe works you harder and pays you less year of year. Bonus and commission structure is no longer fair. Adobe has a cut throat sales culture which creates a horrible work environment. Not quick to promote.",3 people found this review helpful,2021-05-14, Senior Solution Architect ,Austin, TX,Current Employee,
53,BEST Company,5.0,"Amazing benefits, 2- 1 week-long shutdowns to recharge, amazing healthcare, 401k, Overall inclusion-Culture, Caring Management, Team environment, Career Growth, Work-life balance",None- I just wish the office was open!,Be the first to find this review helpful,2021-05-14, Business Development Representative ,Denver, CO,Current Employee, less than 1 year
54,Great Benefits and Perks,3.0,Benefits are great for the area,At times you can work many hours at a very quick pace,Be the first to find this review helpful,2021-05-13, Anonymous Employee ,Lehi, UT,Current Employee, more than 5 years
55,Account manager,5.0,Great company to work for,I have no cons at the moment,Be the first to find this review helpful,2021-05-12, Account Manager ,Lehi, UT,Current Employee, more than 3 years
56,Great place to work!,5.0,"Collaborative, Fun, they LISTEN, Innovative,","Challenge for promotion, needs to increase staff, still improving processes",Be the first to find this review helpful,2021-05-12, Studio Manager ,San Francisco, CA,Former Employee, more than 1 year
57,Great company culture and values,5.0,"Diversity, good working environment, typical benefit schedule, potential growth within the company.","A common problem for large company, certain process could take long time.",Be the first to find this review helpful,2021-05-12, Software Engineer ,Lehi, UT,Current Employee, more than 1 year
58,They need to pay and treat their EA's better,3.0,Great People and Fun Culture,They pay everyone pretty well,Be the first to find this review helpful,2021-05-12, Executive Assistant ,San Francisco, CA,Current Employee, more than 5 years
59,Great company in general,4.0,Competitive pay and amazing benefits,The culture in my department was highly toxic,Be the first to find this review helpful,2021-05-11, Software Engineer ,San Jose, CA,Former Employee, more than 1 year
60,Good Employer,4.0,Is a very employee friendly company,Not too many cons for this company,Be the first to find this review helpful,2021-05-11, Director ,San Jose, CA,Current Employee, more than 3 years
61,Not a better place to work,5.0,"Benefits, Compensation, Work/Life Balance, Management, and Culture","The path for promotion is not always clear, but it is there.",Be the first to find this review helpful,2021-05-10, Senior Business Development Representative ,Lehi, UT,Current Employee, more than 3 years
62,Poor management,3.0,"Healthcare provided for full-time employees, Independently owned","Lack of Management, Lack of knowledge, Staffing issues",Be the first to find this review helpful,2021-05-10, Anonymous Employee ,Denver, CO,Former Employee, less than 1 year
63,Great Company,5.0,"Relaxing, no worries after hours","Slow paced, using old technologies",Be the first to find this review helpful,2021-05-09, Software Engineering ,San Jose, CA,Former Employee,
64,Great benefits and fun team,5.0,"matching donations, generous yearly RSUs",Not any major cons i can think of,Be the first to find this review helpful,2021-05-07, Applied ML Engineer ,San Jose, CA,Current Employee, more than 3 years
65,Best company!,5.0,Incredible employee support and compensation,We work in an extremely fast-paced environment.,Be the first to find this review helpful,2021-05-06, Senior Executive Assistant ,Lehi, UT,Current Employee,
66,Some things to work through,3.0,"Great culture
Laid back sales environment 
Experienced management","Disorganized
Chaotic training/lack of training 
Poor go to market strategy for certain business lines",Be the first to find this review helpful,2021-05-06, Account Executive ,San Jose, CA,Current Employee, less than 1 year
67,Why wouldn't you???,5.0,"The Name, The People, The Benefits, The Potential!",haven't encountered a con at this point.,Be the first to find this review helpful,2021-05-05, Talent Acquisition Partner ,Lehi, UT,Current Employee, less than 1 year
68,Great place to work!,5.0,Great work environment and culture,Work-life balance is a bit difficult during COVID,Be the first to find this review helpful,2021-05-04," Manager, Information Security ",Seattle, WA,Current Employee,
69,Great Company to Work For!,5.0,"- Great Culture (Sold focus on work-life balance and opportunities for professional development.)
- Great Products (Consistent focus on innovations and opportunities to learn about many different technologies)
- Great Leadership","It can get hectic sometimes, but I've found most Adobe employees are willing to dive in and help when needed.",Be the first to find this review helpful,2021-05-04, Senior Client Partner ,Mc Lean, VA,Current Employee,
70,Great benefits and culture,5.0,"Benefits are outstanding, people treat each other with respect, great products and good intentions at all levels of the company",Pace is often too fast,Be the first to find this review helpful,2021-05-04, Senior Director Finance ,San Jose, CA,Current Employee, more than 10 years
71,Blue chip,5.0,"Great CEO, strategy and products",nothing that we i would surface. Great company all round,Be the first to find this review helpful,2021-05-03, Senior Director of Product Management ,San Francisco, CA,Former Employee, more than 5 years
72,Great place to work,4.0,"Employee friendly, great benefits, cross functional interaction","Bureaucracy and politics, sometimes slow moving, experienced people given more weightage",Be the first to find this review helpful,2021-05-01, Product Manager ,San Jose, CA,Current Employee, more than 3 years
73,"Good people, slow and bureaucratic",4.0,"Kind, smart people. Humane work environment.",Layers and layers of people,Be the first to find this review helpful,2021-04-30, Design Manager ,San Francisco, CA,Current Employee, more than 1 year
74,Great Company with Organizational Challenges in Sales,4.0,"Benefits and corporate policies are awesome. At the corporate level, Adobe really takes care of their employees with financial, mental wellbeing, physical wellbeing, medical, and time off benefits. A culture of inclusion and equality for people of all races, genders, abilities, and disabilities. They have also been amazing in they way that they have handled the COVID-19 pandemic to protect their employees and be compassionate to all in a very difficult time.","The sales organization struggles with organizational complexity and a cutthroat culture that makes it extremely stressful and difficult to achieve a work life balance. Despite all of the benefits listed in the pros, the reality is that working in the sales organization at Adobe is detrimental to mental health and quality of life.",2 people found this review helpful,2021-04-30, Sales Engineer ,Chicago, IL,Current Employee,
75,Fun place in tech,5.0,Great company culture and great environment,None so far. At least not in my department.,Be the first to find this review helpful,2021-04-29, Senior User Experience Designer II ,San Jose, CA,Current Employee, more than 8 years
76,Excellent Employer,5.0,"I guess there's no other employer as generous as Adobe. We have one day off every three weeks since the covid-19 coming. Besides, the education reimbersement of $15,000 is really superb.",Sometimes I found it too cozy here. Need more peer pressure to push myself.,Be the first to find this review helpful,2021-04-29, Software Engineer ,San Jose, CA,Current Employee,
77,The Best Place to work!,5.0,"Culture, Salary, Training, Career Progression, PTO","Stress, Quota Attainment, Location, Communication",Be the first to find this review helpful,2021-04-29, Business Development Representative ,New York, NY,Current Employee, less than 1 year
78,Adobe - One Of The Best Company To Work With,5.0,"Great work culture, Good Management, Learning Opportunities,Awesome Benefits",Health Insurance Could Be better because the deductible is high,Be the first to find this review helpful,2021-04-28, Technical Consultant ,San Francisco, CA,Current Employee, more than 1 year
79,Amazing place to work for and very collaborative environment,5.0,"exposure, cutting-edge technologies, growth and fun environment",lack of governance processes in some areas,Be the first to find this review helpful,2021-04-27, Solutions Architect ,San Jose, CA,Current Employee, more than 1 year
80,Adobe for all! good company,5.0,"ESPP, culture, positivity, development help, Work/Life Balance",nothing but only - no free lunch,Be the first to find this review helpful,2021-04-27, Data Science Engineer ,San Jose, CA,Current Employee, more than 1 year
81,"Hard work, positive culture.",5.0,Adobe has a generally positive culture.,"Relentless, literally just relentless work.",Be the first to find this review helpful,2021-04-27, Senior Program Manager ,San Jose, CA,Former Employee,
82,Great company,5.0,The leadership team is very focused on employees.,They can be too collaborative at times.,Be the first to find this review helpful,2021-04-26, Senior Director ,Lehi, UT,Former Employee, more than 10 years
83,Adobe Sales,5.0,great company to work for,i hate working from home,Be the first to find this review helpful,2021-04-25, Business Development Representative ,San Francisco, CA,Current Employee, less than 1 year
84,Enterprise Company Who Engages Well w/ Employees,5.0,"Great vision, great products, good leadership, invests in employees","cross functional communication, constant change",Be the first to find this review helpful,2021-04-24, Customer Success ,Portland, OR,Current Employee, more than 1 year
85,Great Place to Work,5.0,Pay WLB 401k Benefits Culture,Slow Easy Not Challenging Fun,Be the first to find this review helpful,2021-04-23, Software Engineer ,Seattle, WA,Current Employee,
86,GREAT place to work!,5.0,Great leadership - better values!,"Heavy workload, not compensated well enough",Be the first to find this review helpful,2021-04-21, Business Advisory Consultant ,Seattle, WA,Current Employee, more than 5 years
87,Adobe 3 years,4.0,Good salary and health insurance,Sometimes too much work put on 1 person that knows what he is doing even tho its a huge company,Be the first to find this review helpful,2021-04-20, Software Engineer ,San Jose, CA,Current Employee, more than 3 years
88,Great place to work,5.0,There is good work life balance,environment and opportunities can be team dependent,Be the first to find this review helpful,2021-04-20, Anonymous Employee ,Seattle, WA,Former Employee, less than 1 year
89,Great place to work,4.0,Amazing benefits and nice people,Such a big company things slip through the cracks,Be the first to find this review helpful,2021-04-19, Professional Services Consultant ,San Francisco, CA,Current Employee, more than 3 years
90,"strong products, process heavy culture",3.0,"market leading products, good perks, well known brand","slow and process heavy, decision by committee, takes years to launch and get off the ground, lots of deadweight in BU orgs",Be the first to find this review helpful,2021-04-18, Senior Product Manager ,San Jose, CA,Current Employee, more than 3 years
91,Legal Intern,5.0,"Great people, interesting work, fun events","The remote work aspect was a downer, but that was not the company's fault",Be the first to find this review helpful,2021-04-18, Legal Intern ,San Jose, CA,Former Employee,
92,Serious problems in some teams,2.0,"Generally pleasant atmosphere, nice people, reasonably powerful equipment takes some of the tedium out of development. Overall the company has a good vibe and I found it enjoyable 80% of the time. Plenty of latitude to do your own thing and own your space.","Plenty of latitude is mostly due to management apathy and inaction. Horrendous aging codebase shows signs of prolonged hacking and neglect. Senior researchers tend to throw their weight around and outright blockade development they don't agree with. Most other staff are frantically bugfixing for the researchers who avoid code reviews entirely. Your career can easily be stifled falling into the servitude of research staff with endless menial maintenance. This process leads to a revolving door of staff with heavy attrition.

Try here. If you get lucky you can get something done but if you experience misconduct then prepare yourself to exit promptly. Expect no help.",4 people found this review helpful,2021-04-16, Senior Software Engineer ,San Jose, CA,Current Employee,
93,Great job if you're on the Workfront side,5.0,A lot of advancement opportunities,"A lot of people are looking for advancement, typically going up against a lot of people for promotions",Be the first to find this review helpful,2021-04-14, Senior Digital Sales Representative ,Lehi, UT,Current Employee, more than 1 year
94,Great,5.0,Growth bonuses Smart people products,"Work life balance 
Too many remote jobs",1 person found this review helpful,2021-04-13, Software Engineer ,San Jose, CA,Current Employee,
95,Great company to work for,5.0,"Great benefits, competitive compensation, and awesome people.","There are always minor problems when working with a large organization like Adobe, but nothing too noteworthy in my experience.",Be the first to find this review helpful,2021-04-12, Software Engineer ,Lehi, UT,Current Employee, more than 1 year
96,Great company,5.0,"Care about people, ideas and innovation",A lot of teams to address the same problems,Be the first to find this review helpful,2021-04-11, Principal Product Manager ,San Francisco, CA,Current Employee, more than 10 years
97,Adobe cares - middle mgt- not so much,2.0,"I came over with the Workfront acquisition.  I was excited to be part of this wonderful, well-known, beloved brand. The benefits are amazing. Lots of work life balance, healthcare is great,  there’s a nutritionist on staff, tons of unheard of added perks...all top notch. Adobe executive leadership truly cares and has put a lot of thought and research into making Adobe a great place to work.  But there’s a gap....","After several weeks of onboarding and participating in discovery meetings, it was clear that Adobe VPs and “heads of x” weren’t carrying the culture created by executive leadership down and through to the  individual contributors.  There is also a significant amount of unhappiness within the DX marketing org. Apparently there was a re-org last fall, and few understand their job and those that do, aren’t happy in their new roles. They openly admit they’re not sure how to integrate Workfront resources and because of that, they are pausing on spending time learning until they have to. Layer on top of that no clear direction from Workfront marketing leadership on new messaging and themes. It takes forever to get anything approved by Adobe. All of this creates doubt about the future. Without clear direction and lack of culture, me and many others jumped ship.",11 people found this review helpful,2021-04-10, Senior Marketing Manager ,Lehi, UT,Former Employee, more than 3 years
98,"Top company to work for, great culture",5.0,Take really good care of their employees,None thus far in my experience.,Be the first to find this review helpful,2021-04-08, Marketing Program Manager ,Phoenix, AZ,Current Employee, less than 1 year
99,Head of Thought Leadership,4.0,Super talented people and amazing technology,"Big company , lots of players, can take time to get things done.",Be the first to find this review helpful,2021-04-07, Head of Thought Leadership ,San Francisco, CA,Current Employee,
100,Great Place to Work,5.0,Excellent culture aligned to core values; leaders who care and act with humility. A great place to grow your career.,"Adobe is growing rapidly, and this can mean we have less resources than needed at times. That said, a growth company means a great place for opportunity.",Be the first to find this review helpful,2021-04-06, Vice President ,San Francisco, CA,Current Employee,
101,One of the best companies to work for,5.0,"Great work culture, 2 annual shutdowns , ESPP, 401K match, Wellness amount, Personal skill development funds,",Salaries on the lower side,Be the first to find this review helpful,2021-04-03, Software Development Engineer II ,San Jose, CA,Current Employee, more than 5 years
102,Great company that cares for its employees,5.0,"People come first, growing, competitive pay",No cons come to mind,Be the first to find this review helpful,2021-04-02, Anonymous Employee ,Salt Lake City, UT,Current Employee, more than 1 year
103,Hard to imagine leaving.,5.0,"Welcoming, kind, passionate employee base. Household name, beloved products. Opportunity to move internally.","Lots of old guard hanging around. Some teams are more difficult for young talent to navigate and pin down growth opportunities. Not my experience, but true of many people I've worked with.",Be the first to find this review helpful,2021-04-01, Senior Manager Social Media ,San Francisco, CA,Current Employee, more than 5 years
104,Benefits are fine but not great,3.0,"ESSP, Maternity/ Paternity are good pros","Health care is expensive, no cell phone reimbursement",Be the first to find this review helpful,2021-04-01, Senior DSR ,Salt Lake City, UT,Current Employee, more than 1 year
105,Matrix organization,4.0,"Great benefits
Great products - and employees get to use them for free!","Career growth path not very clear and varies depending on your team
Very matrixed organization, end up spending a lot of time just finding the right person and updating stakeholders",Be the first to find this review helpful,2021-03-31, SEO Manager ,San Francisco, CA,Current Employee, more than 3 years
106,great company,4.0,Great benefits and work life balance,"Leaders change up the org yearly, making it tough on sales professionals to build a book of business",Be the first to find this review helpful,2021-03-31, Strategic Account Executive ,New York, NY,Current Employee, more than 5 years
107,Great Company,5.0,Great company and Great place to work. Everyone's extremely smart.,"As a large company, it's hard to get everyone on the same page.",Be the first to find this review helpful,2021-03-30, Product Manager ,New York, NY,Current Employee, more than 5 years
108,Innovative Company,5.0,You work with very smart people,Organizations are very siloed to its hard to feel in the loop with people working on different products,Be the first to find this review helpful,2021-03-29, Senior Account Manager ,Emeryville, CA,Current Employee,
109,Excellent work life balance,5.0,Such great work life balance,Nothing I can really think of,Be the first to find this review helpful,2021-03-29, Software Engineer ,Seattle, WA,Current Employee, more than 1 year
110,"Great culture, work life balance",4.0,I have a great time at Adobe. My colleagues and managers are supportive. I got to work on high impact projects.,Change of upper management level too often,Be the first to find this review helpful,2021-03-29, Senior Product Manager ,San Jose, CA,Current Employee, more than 3 years
111,Nice company,4.0,It’s a nice org with wlb !!,Few opportunities for growth if you are not in the right team. Top down approach and hierarchical mindset.,Be the first to find this review helpful,2021-03-25, Senior Product Manager ,San Jose, CA,Current Employee, more than 5 years
112,Great company to work for,5.0,"- Flexibility
- Great Management
- Smart People to work with
- Work on latest technologies",None that I can think,Be the first to find this review helpful,2021-03-25, Senior Database Administrator ,San Francisco, CA,Current Employee, more than 10 years
113,great work place,5.0,Great Place to work for,Office was new so it took time getting used to,Be the first to find this review helpful,2021-03-25, Software Engineer ,Seattle, WA,Former Employee,
