,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
16,Poor career development,3.0,"* Great opportunities to work directly with product end users
* Interesting code base","* Poor career development opportunities in engineering. There is a definite ""in crowd"" at the top of the engineering hierarchy and projects are staffed based on their opinions
* Promotions are blatantly about who you know and how important your project is to product management, and not about contributions, skill, experience, or competence. ""Standards"" are bent or ignored frequently to promote some people while the goal posts are continually moved for others (often while still adding more and greater responsibility)
* Engineering leadership has no clue where they are going from month to month. Strategies change often and there are multiple silos unknowingly working against each other because the different areas don't coordinate. Other times, office politics cause them to deliberately work against each other to impress the CTO
* Engineering middle management is mostly useless. They are there to collect paychecks and make the CTO happy. A few are excellent and carry the load. Most teams are run by the senior and lead engineers. Managers and directors tend to fail upwards
* Product management staff changes often and/or has no ability to guide engineering well, leaving engineering teams to figure out how to implement product strategy",6 people found this review helpful,2021-05-21, Lead Engineer ,Broomfield, CO,Former Employee, more than 5 years
17,Career development,4.0,"Moved quick, good teams, strong middle management","lack of metrics, change in leadership, high churn",Be the first to find this review helpful,2021-05-20, Technical Account Manager ,Broomfield, CO,Current Employee,
18,Good Culture,4.0,"Lots of Job and Oppotunity to try out,",Many people have been quitting.,Be the first to find this review helpful,2021-05-18, Software Engineer ,,,Former Employee, more than 1 year
19,Great Company,5.0,Wide open opportunity to grow new skills and change the world,Some business processes lack maturity and are not necessarily aligned to industry standards.,Be the first to find this review helpful,2021-05-18," Senior Director, Customer Services ",,,Current Employee, less than 1 year
20,Amazing place to be,5.0,"Competitive salary, benefits, bonus and culture.",None that I can think of.,Be the first to find this review helpful,2021-05-16, Technical Support ,,,Current Employee,
21,Fast Growth Pros and Cons,3.0,You can sink your teeth into any project and direct the trajectory of career.,High growth with insane timelines that limit success.,Be the first to find this review helpful,2021-05-13, Anonymous Employee ,,,Current Employee,
22,On the upswing,4.0,"Some of the best people I've worked with - almost like family
Good pay 
Great benefits
Passionate customer base
New c-level hires are (mostly) legit
Feels like things are stabilizing after a very chaotic year
New DEI initiatives seem authentic, which is great to see","Your experience at Alteryx can be hit or miss as it is highly dependent on your manager - some are great, some not so much. 
It is starting to feel like a ""big company"" with the politics and complexity associated with it.
Work/life balance can be hard to find at times. 
Career development opportunities exist, but they seem harder to come by these days.",Be the first to find this review helpful,2021-05-06, Anonymous ,Irvine, CA,Current Employee, more than 3 years
23,It used to be a great place to work,1.0,"The flagship product still sells by itself
There is a great community of customers and external users that love the company and make the name strong",Internally things feel more toxic than they seem from outside. This explains the big number of great people leaving the company over the past few weeks.,9 people found this review helpful,2021-05-05, Customer Success ,London," England, England",Current Employee, more than 1 year
24,Be Comfortable Being Uncomfortable,3.0,Great people. Enthusiastic user base. Good benefits.,Constant change from leadership to product messaging. No real go to market strategy. Undervalue of established workforce. Sling-shotting certain positions while stagnating others.,4 people found this review helpful,2021-05-04, Account Executive ,Dallas, TX,Former Employee, more than 3 years
25,"Going through transition, but committed to culture",5.0,"The benefits are fantastic!

The pedigree of senior leadership is top notch

The community/customers love us","This is a company clearly going through a transition: the leadership is new, we're working on products in areas we haven't been in in the past, the stock has been fluctuating... This isn't a place for someone who would be happier at a slower, legacy company.",4 people found this review helpful,2021-05-04, Marketing Director ,Irvine, CA,Current Employee, less than 1 year
26,Growth Opportunity,5.0,ready to grow and scale,can't think of anything at the moment,Be the first to find this review helpful,2021-05-03, Sales Ops ,San Jose, CA,Current Employee,
27,An Amazing Place to Work,5.0,Incredible product that has the ability to transform so many people's lives - and has already. Management team is transforming with executives from leading companies and incredible talent at every level.,"With transformation comes change, and this can cause a discomfort for some.",Be the first to find this review helpful,2021-05-03, Data Science ,Ann Arbor, MI,Current Employee, more than 1 year
28,High turn-over for obvious reasons,1.0,"Best and brightest team members in marketing but no one will stay 

Some team members have learned to lean on each other in order to meet the unreasonable and constantly shifting priorities from the CMO","No employee feels empowered under the current CMO due to micro management

Purely reactionary with no strategic vision

Culture of fear and panic within marketing

High turn-over from Marketing VP level all the way to individual contributors. One marketing SVP only lasted two weeks. When CEO was asked about the high turnover he stated something similar to - some people aren’t comfortable with this pace

No work life balance - you’ll hear the CMO mention - the team worked nights & weekends",13 people found this review helpful,2021-05-01, Marketing ,,,Current Employee,
29,Experiences very team-specific,2.0,"Great company culture, Great people",Infosec team's hiring practices are very nepotistic and do not reflect the overall values of the company. Hiring focuses on bringing in new people and not at all on the morale of an existing team,3 people found this review helpful,2021-04-30, Security Operations Engineer ,Broomfield, CO,Current Employee, more than 1 year
30,ONLY WORK HERE IF YOU ENJOY TURNING TRICKS FOR MONEY!!! BEWARE,1.0,Free unlimited snacks and lies.,Everyone is miserable at Alteryx.,6 people found this review helpful,2021-04-28, Anonymous Employee ,,,Current Employee,
31,This place is a mess,1.0,Competitive salary and decent benefits,"I've never had a worse experience than I did at Alteryx. Leadership was unprofessional/sexist, I was not set up for success in my role and what was pitched to me during the interview process was very different than what I walked into. If you want to work for a company that values egalitarianism, do not come to Alteryx.",10 people found this review helpful,2021-04-27, Marketing ,,,Current Employee, less than 1 year
32,Great,4.0,Good support for newcomers and great energy,"Senior leadership very disconnected to front line, they need to have more personal time with reps. Used to do this before but new leadership hasnt done this....",1 person found this review helpful,2021-04-27, Sales Executive ,London," England, England",Current Employee, more than 1 year
33,Great,4.0,Good middle management and advice given always helpful. They want you to succeed,Senior leadership is disconnected to front line,1 person found this review helpful,2021-04-27, Sales Executive ,London," England, England",Current Employee, more than 1 year
34,"Great Product, Great People",4.0,Amazing Product and great being able to share that with customers; Still strong growth;,Product department has trouble getting more than a 2 year vision and the revolving door in that department makes it hard to execute; Some bad decisions at Leadership level since Dean Stoecker left,1 person found this review helpful,2021-04-22, Sales Engineer Leader ,Sydney,,Current Employee, more than 5 years
35,The Worst,1.0,Customer community and use cases,"C-level leadership, starting at the very top",4 people found this review helpful,2021-04-20, Anonymous Employee ,,,Former Employee,
36,Customer success,3.0,Customers gained significant success through the software,Opportunity to improve employee appreciation,Be the first to find this review helpful,2021-04-20, Account Executive ,Irvine, CA,Former Employee,
37,Not a great option,1.0,Seemed like a good product,Management was very inconsistent.....couldn't figure out a consistent message and panicked a lot,5 people found this review helpful,2021-04-19, Sales ,,,Former Employee, less than 1 year
38,This was an amazing company but everything changed...,1.0,"- Great product (although it has not been significantly improved for many years)
- Salary is above average but this should be a warning sign for candidates (see below)","- Point solution and nowhere near a real analytics 'platform' (or cloud solution). I am wondering why no large cloud company just copied what Alteryx does and their competitive advantage is getting smaller and smaller. Move to the cloud has been announced in 2016 but was never accomplished.

- Culture and people were amazing but with the new CEO everything changed. He hired one of his 'old buddies' as CRO (Dean Darwin) and had to kick him out after 2 months due to racist comments he made on LinkedIn. Although they are friends for many years (announced when Darwin joined), he later denied knowing any of Darwin's 'views' and nobody questioned this behaviour.

-Turnover is incredible and the management teams (C-level to first line) was kicked out and replaced almost 80%. Now the company is led by people that are mainly 50+ and all joined in the last 8 months. Many do not care about the product and even less about people. People get kicked out although 50% of positions are open and many leave the organization due to the complete ignorance of new leadership. No one tries to really understand the product or listens to experienced managers and is pushing their old school sales tactics down the throats of those who remained. This leads to even more problems and more pressure for pipeline / revenue.

- If you want to get micromanaged, this is your company. While open communication about problems and issues get ignored, they push you to work on call lists with superficial messaging like it's a 1990 insurance sales call center. 

- no support. You cannot count on any support from a business development organization (open headcounts but no new hires in months). You'll need to participate in pipe gen 'cold call' days and all pipeline issues land on your back. SE team is great but also slightly understaffed.

-They are hiring everyone from everywhere due the incredible turnover. Currently 1/3 of sales positions globally are open and this aggressive hiring comes at a price. Since the managers don't understand product, processes and do not care about people, everybody is frustrated. No real onboarding in regional offices makes this worse. The atmosphere is quite toxic.

I never heard about a company that went from great to horrible so quick and with such a negative impact. I can only recommend you to stay away and try your luck elsewhere.",5 people found this review helpful,2021-04-19, Account Executive ,,,Former Employee, more than 1 year
39,There was so much promise,2.0,"-Pockets of good people still around
-Decent initial pay, good benefits
-Promotion potential within your specialty","I started several months before the company went public at the Broomfield office. The culture was the best I've ever experienced anywhere. Post IPO, the tale-as-old-as-time chipping away at what made the company great began.
-Employees became the least valued commodity
-Empty diversity gestures and programming
-Every single product decision is based on short term bullets for investors 
-Yes men/women were installed as middle managers as we grew operations; very much their way or the highway - zero top cover from the other yes leaders
-Team bonding lunches were axed (new hires, promotions, birthday months)
-Pre-Covid catering fell off a cliff
-Office arcades/table tennis/pool is for recruitment only and will not be tolerated 
-Had to document my work in several different tracking applications per week so management could forward and get their kudos
-Hemorrhaging their best people in the name of impressing investors but the stock price just keeps falling. 
I would avoid working here if you have the option. A true shame.",16 people found this review helpful,2021-04-17, Anonymous Employee ,Broomfield, CO,Former Employee, more than 3 years
40,Great Opportunity,5.0,Great product and opportunity for growth.,The company continues to hire for its future needs.,2 people found this review helpful,2021-04-15, Current Employee ,,,Current Employee,
41,Good place to work,5.0,Great place to work for,"Leadership, all else is pretty good",Be the first to find this review helpful,2021-04-14, Solutions Architect ,,,Current Employee, more than 1 year
42,Good place to grow,5.0,Great place to work. Schedule can be challenging sometimes but the benefits are quite rewarding,Work life balance can get effected sometimes,Be the first to find this review helpful,2021-04-14, Business Development ,,,Current Employee, more than 1 year
43,Alteryx is the place to work,5.0,Great place to work with a great atmosphere,No cons to this job,Be the first to find this review helpful,2021-04-12, Technical Fulfillment Associate ,,,Current Employee,
44,Enterprise AE,4.0,"Great people, product and work atmosphere (when in office)",Lots of leadership turnover with switch to new CEO,Be the first to find this review helpful,2021-04-06, Account Executive ,Dallas, TX,Current Employee, more than 1 year
45,IT review,3.0,"good management, decent pay, opportunity for growth",currently there's a big turnover rate,1 person found this review helpful,2021-04-01, Desktop Support Specialist ,Irvine, CA,Current Employee, more than 1 year
46,-,5.0,Company culture is great !,Can’t think of any really,Be the first to find this review helpful,2021-03-31, Sales ,,,Current Employee,
47,Company is a sinking ship,1.0,Great Product that customers love (although competitors are making the product obsolete),"- No Culture (at all)
- High turn over in every department (especially sales)
- New executive leadership is ruining everything that was great about this company in the past
- Poor onboarding/training experience",7 people found this review helpful,2021-03-31, Account Executive ,,,Former Employee,
48,Accounts Payable,1.0,great benefits and lots of food,work and life did not balance out; too much overtime,2 people found this review helpful,2021-03-30, Accounts Payable Specialist ,Irvine, CA,Former Employee, more than 1 year
49,"Good product, good people",4.0,Very interesting product with very passionate customers,Lots of turnover at executive and individual contributor level. The company is having a hard time focusing on strategy and there are a lot of firedrills.,Be the first to find this review helpful,2021-03-25, Marketing Campaign Manager ,Broomfield, CO,Current Employee,
50,Incredible promise - Can't get out of our own way,3.0,"Alteryx Designer is an incredible product
New product leadership inspires hope for bigger leaps in functionality
Strong investment in technology for sales (ZoomInfo, Salesloft, LinkedIn Navigator)","We can't get out of our own way. 

It is a harder fight internally to negotiate concessions or anything non-standard than it is with the customer/prospect. Many approvals have to go all the way up to the c-suite with nearly 10 approvals preceding that. While sometimes it is appropriate, there are many instances where it is completely overboard. 

I was optimistic when Mark came on and repeated a few times that we have to be more agile & easier to do business with, but there doesn't seem to be much traction in this area yet. 

""Remove the friction"" has been a strategic imperative every year during my time, and it is now a joke said amongst associates when we get stuck or roadblocked trying to sell.

The challenges in these processes are multiplying as we are onboarding new sales people and they are struggling to get things done.",7 people found this review helpful,2021-03-24, Account Eecutive ,,,Current Employee, more than 1 year
51,"investment in training, but micro-managed sales team",3.0,"Product has real ROI for customers
Investment in training and enablement for sales team","Lack of support from marketing/channels for pipeline
Team is micro-managed as if all brand new to sales",3 people found this review helpful,2021-03-22, Account Executive ,London," England, England",Current Employee, more than 1 year
52,"Great analytics company, very demanding culture",4.0,"Awesome product, customers love the products and company","Unrealistic expectations for quota, territories not built equally but quotas were all the same",Be the first to find this review helpful,2021-03-18, Sales ,,,Former Employee, more than 1 year
53,Good company,4.0,"Great product, people and exciting clients",A lot of change the last few months as we are going through a transformation.,Be the first to find this review helpful,2021-03-17, Account Executive ,,,Current Employee,
54,Great company!,4.0,Customer absolutely love the solution!!,Way to much upper management change,Be the first to find this review helpful,2021-03-10, Sales ,,,Current Employee,
55,Hard graft,3.0,Good pay and comms structure,Very much cold prospecting and lack of support from marketing/channel,Be the first to find this review helpful,2021-03-10, Sales Associate ,,,Current Employee, more than 1 year
56,You will love the Alteryx Family!,4.0,"Great work culture, amazing software, work/life balance is fabulous.",Leadership changes in FY20/FY21 have added some internal confusion. Annual compensation adjustment could use improvement.,Be the first to find this review helpful,2021-03-05, Customer Success ,,,Current Employee, more than 1 year
57,"High turnover, micromanagement and racism scandal",1.0,"Alteryx Designer still loved by customers.
Good salaries and great customers to work with.","The destruction of a very good company culture started September 2020 when the new CEO Mark Anderson was appointed. He changed many of the C-level executives including appointing the new CRO who is no longer with the company as of now. In his 6 weeks in this position Dean Darwin managed to demotivate and disgust many people. Eventually he was fired because of racist comments he left on Twitter and Linkedin. However, it took the company 1 week to make that decision and the CEO, his buddy from the past, even wanted to protect him.

Other than that the company has introduced MEDDPICC as a sales methodology and is creating more and more metrics to micromanage its employees. PG call days are blocked and activities are tracked. And this is just the beginning...

Many people were let go at the beginning of the year and many more to follow because they will not want to work in this depressing culture. The high turnover is accepted by senior management as they look to bring in people who would do what they want and how they want it.

Alteryx core products are still on-premis despite us living in the year 2021. When I was hired a few years ago I was told that the customers didnt care too much about it. Now almost all companies have cloud strategies and Alteryx is failing to move into the cloud due to a very weak and slow software engineering team.",7 people found this review helpful,2021-03-02, Account Executive ,,,Former Employee, more than 3 years
58,Great Place with Room to Grow,4.0,The company values quality and is always pushing to improve quality process,There is often quick decisions being made at higher levels that make people feel less stable in their roles then they should feel.,Be the first to find this review helpful,2021-03-01, Software Quality Assurance Engineer and Testers ,Broomfield, CO,Current Employee, less than 1 year
59,Not parent friendly,3.0,Great scope to negotiate initial salary,Not happy with you working from home,Be the first to find this review helpful,2021-02-26, Deal Desk Coordinator ,London," England, England",Former Employee, less than 1 year
60,Product & Engineering,4.0,Tech contributors are some of the best around,Product leadership is a lost ship in a stormy sea,2 people found this review helpful,2021-02-26, Leader ,,,Former Employee,
61,"Great but ageing product, a lot of friction and attrition",2.0,"Customers love Alteryx 
Great success stories and a good name on the market 
You can make decent money
Working with some seriously smart and passionate people 
Some of the recent changes were overdue and will make Alteryx better","The Alteryx Designer core product is old and the company is playing catch up to cloud technologies 
Top and middle management team has been swapped out at record pace and some replacements seem to have not been properly screened 
Some criticism and concerns about those changes have been brushed aside and a lot of employees seem alienated and some have left 
New hires I talked to are already concerned about the state of the company 
Share price plummeted, which may be because investors lost faith",1 person found this review helpful,2021-02-24, Sales ,,,Current Employee,
62,Ok,2.0,"Cool Office, Good front line management",The culture has gone down hill in the past 6 months,Be the first to find this review helpful,2021-02-23, Sales Development Representative (SDR) ,Irvine, CA,Current Employee,
63,Good place to learn different skills,3.0,Great co-workers and vibrant user community,work life balance is a challenge,Be the first to find this review helpful,2021-02-19, Anonymous Employee ,,,Former Employee, less than 1 year
64,Tough sales job,3.0,"- Good product. Our top customers do find Alteryx performs excellently and occupies a niche that is not met by other vendors in the space.

- Good compensation. OTE is good and if you're successful in your role you can make a good amount of money, especially considering the young age of many reps. 

- Management tries hard to foster an open and collaborative culture. I find that everyone I have worked with is easy to get on with and professional, as well as good at their job.","- Tough to sell, not a ""sexy"" product and does require commitment from clients. Requires sales reps who understand complex sales cycles and technical requirements. 

- Almost entirely self-generated leads

- inflexible sales processes, though this is reportedly being addressed as a priority by management.

- Whilst not ""hire and fire"" this is certainly not a job for someone who needs 6 - 12 months to get up to speed. 

- High sales rep attrition

- Currently going through lots of changes, loss of leadership, redundancies, territory and role reassignments",4 people found this review helpful,2021-02-12, Sales Executive ,London," England, England",Current Employee, more than 1 year
65,Best company I've ever worked for,5.0,"Culture is excellent, very collaborative and filled with ambitious people",Growing pains - perfectly normal,Be the first to find this review helpful,2021-02-12, Sales Engineer ,,,Current Employee,
66,Good,4.0,Good place to work in general,None that I can think of,Be the first to find this review helpful,2021-02-11, Account Executive ,Irvine, CA,Former Employee,
67,okay,3.0,"great product, generally awesome co-workers",new management may end up being the achilles heel,5 people found this review helpful,2021-02-09, Sales Engineer ,Irvine, CA,Current Employee,
68,Talent Sourcer,5.0,Great company culture to work for.,Need more recruiters as the business is growing,Be the first to find this review helpful,2021-02-08, Talent Sourcer ,Dallas, TX,Current Employee, more than 1 year
69,Excellent work place culture,5.0,Work with great people and solve interesting problems with customers who love the product,Lots of changes in leadership,Be the first to find this review helpful,2021-02-03, Sales Engineer ,,,Current Employee,
70,Good company,4.0,Good benefits and work organization,"legacy rules
dependency on HQ
not completely established CI/CD process",Be the first to find this review helpful,2021-02-03, Quality Engineer ,Prague,,Former Employee,
71,Haste Makes Waste,1.0,"The Alteryx Designer is a fantastic business tool, but that's all it is...just a tool.","The former and now current leadership have a single threaded focus on sales execution and have for years. Over the past several weeks the new management has emphasized accountability related to failure of hitting sales numbers. With increased scrutiny and micromanagement of the sales process, it makes me wonder if leadership will ever mention or invest into product development......creating a true enterprise grade analytics platform which is deployed in a secure cloud.",11 people found this review helpful,2021-02-01, Senior Account Executive ,Irvine, CA,Current Employee, more than 3 years
72,Incredible Opportunity,5.0,The most powerful and intuitive technology available,There are more opportunities than there is time! We need more skilled Account Executives!,Be the first to find this review helpful,2021-02-01, Sales Leader ,,,Current Employee,
73,Great work environment but not fully mature company,5.0,"- Very inclusive and accepting environment
- Company is still growing so you can wear many hats",- Company is not fully mature so some departments are understaffed/ lack effective process leading to overworking some people.,Be the first to find this review helpful,2021-01-28, Salesforce Developer ,Irvine, CA,Current Employee, more than 1 year
74,"Great place, Great Customers and a Great Platform",5.0,Great growth and strong user community,"Some growing pains operationally, but the roadmap is starting to become clearer.",Be the first to find this review helpful,2021-01-28, Solutions Marketing Director ,Worcester, MA,Current Employee, more than 3 years
75,solid product + terrible org,1.0,"The Alteryx designer is a battle tested product that works great. 
The Alteryx Designer truly sells itself so there's not much salesmanship needed once you get the product in their hands, it makes life as a salesman easy 
There's an incredibly wide range of avenues to break into organizations presenting a very unique opportunity, as it allows for reps to shine in their own lines of business or expertise. 

There is a great opportunity to succeed here if you make sure you get the right connections internally with management and suck up as needed","During the 2018 Christmas party the president and CRO of the company at the time (scott jones) was making sexual advances towards my date. 
The night culminating with him connecting and messaging her on social media platforms such as Facebook and LinkedIn ( I have pictures). 
You can only imagine how that made me feel as an employee reporting under him. 
This alone is WILDY scary and as someone who has to work under someone like that, it drastically changed my views of our organization. 

High growth has masked a large lack of competency internally specifically in lower/mid level management. people have inherited roles they aren't qualified or prepared for and it rears it’s head in a number of different ways. 

Products outside of the designer are not great. 

They offer ""Alteryx for good"" hours which are meant to volunteer during work hours, naturally in sales you want to be there as often as you can but when i requested to use my ""afg"" hours i was greeted with a "" is that a good use of your time?"" 

Alteryx targets younger individuals to save costs but most people have been in college longer than they've been in the software industry. 

Some people have no sales background at all, lots of “buddy 6” hiring.

 Don't voice alternative views as management often sees this is combative or antagonistic. 

Then your ""personal brand"" gets tarnished, once that happens there's no coming back. 

Another review posted here wrote ""The environment is fear based and you’re always wondering if you will fall out of favor and get fired. CEO and his team seem to perpetuate that.""

 this is a very accurate statement. There are other issues internally but you get the picture, no sense in beating a dead horse...",5 people found this review helpful,2021-01-22, Sales Team ,Irvine, CA,Former Employee, more than 1 year
76,Its been a rocketship,4.0,Hi growth company. Great product.,New leadership at CEO and CRO. Jury still out.,Be the first to find this review helpful,2021-01-21, Director Channel Sales ,Chicago, IL,Current Employee,
77,Decent place to work,3.0,"Good working culture, excellent product and real clear direction of the business set out by c-suite. Also invest a lot of time into staff in terms of training","Commission structure isn't competitive with the rest of the market, progression within the business has been limited",1 person found this review helpful,2021-01-21, Sales ,,,Current Employee,
78,Lots of changes,3.0,"competitive pay, stock, and good leadership, good tech stack offered to AEs,","Have a lot of growing pains, struggling to get through tumultuous times, layoffs, high-pressure sales environment- no customer success, so as a salesperson a lot falls on you. BDR channel incredibly week - leads to lots of cold out reach to be done by AE, Sales planning is weak",5 people found this review helpful,2021-01-20, Commercial Account Executive ,Irvine, CA,Current Employee, less than 1 year
79,"Great employer, changing culture",4.0,"good pay, friendly colleagues, good training",culture changing to be metric obsessive and enterprise driven. Less start up feel,1 person found this review helpful,2021-01-20, Sales Account Executive ,London," England, England",Former Employee, more than 3 years
80,Large Layoff last week,2.0,Great people in operations and sales support.,New management thinking they have all the answers.,4 people found this review helpful,2021-01-18, Anonymous Employee ,,,Current Employee, more than 1 year
81,Great place to work,4.0,"Great culture, felxible office hours.",No problems with working here.,Be the first to find this review helpful,2021-01-18, Inside Sales Engineer ,London," England, England",Current Employee, more than 3 years
82,Beware of pace and account sets,2.0,"There are a few sales leaders who care about development, and who share knowledge of how to get better. The product is good, but overpriced. Benefits are great.","This is an extremely fast-paced sales job focused on extreme growth quickly. Your success in sales is directly tied to the account set you are given. With bad accounts, you can spend 10-12 hours a day crafting the right message and engaging the right people and still not find success. I was put on a performance plan after only 6-7 months. A lot of companies recognize the time it takes to get familiar with the product, accounts, and industry. Some even provide a guarantee for 6-12 months. 3 month guarantee (not even 100% payout) with Alteryx. And no exit interview when let go. Seems like they don't value feedback from the lower tiers on the performance of management.",6 people found this review helpful,2021-01-15, Account Executive ,Plano, TX,Former Employee, less than 1 year
83,Sales,3.0,Co workers and Office perks were great,Mid level management very micro and KPI focused,1 person found this review helpful,2021-01-11, Enterprise Account Executive ,,,Former Employee, more than 1 year
84,Dumpster Fire - I would look at 5 start ratings with EXTREME CAUTION,1.0,"Not a lot, the product was good and they have some long term customers that are fanatics and would be lost without Alteryx.","Management and culture were horrendous. I have seen some of the new hires in leadership position and I hope they are able to come in change things up. The amount of gossip and backbiting was enough to exhaust anyone that works there. HR was a big concern for everyone when I was there. The HR team should be the people you go to with trust and confidence and they were actually the facilitators of the nonsense that you would see day in and day out. They were some of the least genuine and least professional people I have ever worked with, including the Sr. Directors, Director and Sr. Managers. I hope with these changes at the top that you take strong look at those people a level or two below the C-Suite. You have some fantastic people who work there and you should feel lucky that you were as successful as you were with those people in place. Hopefully you are able to clean house and right the direction of the ship.",8 people found this review helpful,2021-01-04, Management ,Irvine, CA,Former Employee, more than 1 year
85,"Great company to work for, with a great product",5.0,"-Growing company, dynamic, keeps things interesting
-Generous equity grants (RSU's), perks, benefits (employee health premiums paid, not dependents though)
-Very successful product, not worried about future of company","-Some small, private company practices linger, hindering some more ""professional"" operations of more established companies
-Lots of hierarchy",3 people found this review helpful,2020-12-11, Revenue Manager ,Irvine, CA,Current Employee,
86,Great Place to Work,5.0,"Room for Professional Development
Growth Potential
Fast-paced","Management moving the goal-line
Unrealistic expectations
Favoritism",2 people found this review helpful,2020-12-07, Enterprise Account Executive ,Irvine, CA,Current Employee,
87,Great software company for young engineers,4.0,"Lots of room to grow
Good compensation
Mostly good culture",Management doesn’t have a good strategic long term plan,2 people found this review helpful,2020-12-01, Senior Software Engineer ,Broomfield, CO,Current Employee,
88,Great,5.0,"Good Pay
Great Benefits
Standard PTO for Tech","Growing Fast like all
other Saas Companies.",2 people found this review helpful,2020-11-29, Operations Specialist ,Dallas, TX,Current Employee,
89,Great company to work for with a product that adds tangible value to the businesses that use in weeks not months.,5.0,"- great culture
- very competitive salaries
- great training / onboarding",- probably tried to grow to quickly,1 person found this review helpful,2020-11-25, Account Executive ,London," England, England",Current Employee, more than 3 years
90,No technical strategy or engineering leadership,1.0,"The people who work here are amazing. Everyone wants to help and to teach, so you never feel like you are abandoned. Plenty of opportunity as a company if it can turn around.",There is absolutely no technical strategy. It's been over a year since we first described what our vision was and leadership has not made any progress on what we will do to get there. No short/mid/long term discussion on how we move towards the platform that was our goal and no leadership on how to converge our various rewrites. Projects become a reactionary reflex with no cohesion towards working together due to executive management.,5 people found this review helpful,2020-11-23, Anonymous Employee ,Broomfield, CO,Current Employee, more than 1 year
91,Good place to work/bad CTO decisions,4.0,"Good teams to work with, nice amenities.",Some recently bad leadership decisions,Be the first to find this review helpful,2020-11-19, Quality Engineer ,Broomfield, CO,Former Employee, more than 1 year
