,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
10,The best employer in Krakow so far,5.0,"salary above the market
modern tech stack
laptop
full support with work permit",I did not find any,Be the first to find this review helpful,2021-06-21, Senior Software Engineer ,Kraków,,Current Employee,
11,Best place I have worked for,5.0,"Great employee centric policies
Very good pay package 
Provides great workplace",Work load can be stressful,Be the first to find this review helpful,2021-06-20, Technical Solutions Engineer II ,Bangalore,,Former Employee, more than 3 years
12,Good company with some poor managements,4.0,"Flexible work time
Many smart talents
Good range of products","Some managers are very biased, and ""one team"" is often applied at his/her convenience. 
You need to voice out (like bluff) your own strength, otherwise, managers can be blind.
Poor technical training if you can't find the right persons to help. 
Standards dropped over the time.",Be the first to find this review helpful,2021-06-19, Senior Consultant ,Singapore,,Former Employee, more than 5 years
13,where fun and challenge meet,5.0,"Great place to create a career. you will learn a lot about new technologies, and business. there are grown opportunities and pays good.","Challenging, high paced company. Training is very poor, so you have to figure things out on your own.",Be the first to find this review helpful,2021-06-18, Services Line Manager ,San Jose," San Jose, San Jose",Current Employee, more than 5 years
14,Great company,4.0,Great company to work for. Young and talented employees,Can’t think of any. I guess things change really fast but that can go either way.,Be the first to find this review helpful,2021-06-17, Security Solution Architect ,,,Current Employee, more than 1 year
15,I was a Client Service Manager at Akamai Technologies.,5.0,One of the best companies to work.,The journey at Akamai was a great one.,Be the first to find this review helpful,2021-06-17, Client Services Manager ,,,Former Employee,
16,Great First Software Job,5.0,"Work life balance
Good pay
Interesting projects",Innovation can be slow at times,Be the first to find this review helpful,2021-06-16, Software Engineer ,,,Current Employee,
17,One of the best in the market,5.0,Pay Master and takes care of employees.,Not that I know of.,Be the first to find this review helpful,2021-06-16, Senior Systems Administrator ,,,Current Employee,
18,Still settling after major re-org,4.0,The major re-org in early 2021 is still in flux in June. Many parts needed a jolt to re-focus ourselves.,We've lost some good people because of lack of focus after re-org.,Be the first to find this review helpful,2021-06-16, Senior Software Engineering Manager ,Cambridge, MA,Current Employee, more than 10 years
19,Best,5.0,Friendly and amazing company to work,None no negatve found so far,Be the first to find this review helpful,2021-06-15, Associate ,Bangalore,,Current Employee,
20,Good Benefits,3.0,Benefits are excellent. Interesting work.,Middle management focused too much on managing up and looking good to their bosses.,Be the first to find this review helpful,2021-06-13, Project Manager ,,,Former Employee, more than 1 year
21,No comment?,4.0,Flexibility on your work to deliver great services to customer,"Limited career growth in the company, little room for promotion, head count trimming happen every year",Be the first to find this review helpful,2021-06-13, Security Consultant ,Singapore,,Current Employee, more than 5 years
22,Best place to work!!!,5.0,"- Work life balance 
- Best management 
- No politics, keep working and see things going up
- Good pay
- Everything is pros here, just talk about it",Nothing negative that can be seen.,Be the first to find this review helpful,2021-06-13, Security Architect ,Bangalore,,Current Employee, less than 1 year
23,Great place to work,5.0,"Great technology
Great people
Big tech companies","Poor work life balance
Stressful environment",1 person found this review helpful,2021-06-12, Anonymous Employee ,Cambridge, MA,Former Employee, more than 5 years
24,Good place to work,5.0,"Open top level management readable 
Takes care of employees 
Perks and ease of availing leaves",Growth is slow after few years in the company,Be the first to find this review helpful,2021-06-10, Anonymous Employee ,,,Current Employee, more than 3 years
25,Great Career Opportunity,4.0,Continuous Learning Big Customers Recognition Great teamwork,Hard work hierarchy limited growth in some locations,Be the first to find this review helpful,2021-06-10, Senior Technical Project Manager ,Dubai,,Current Employee, more than 3 years
26,Caring Company,4.0,"Good pay and benefits, employee-centric culture, leadership that cares. Cool products. Financially stable. Smart people who generally work hard and are loyal.",Has gotten bigger and there are some inefficiencies with how work gets done. Little investment in infrastructure - more quick wins versus longer-term planning. Everything must be socialized to death internally. Optics valued more than substance at times.,Be the first to find this review helpful,2021-06-10, Anonymous Employee ,Cambridge, MA,Current Employee, more than 10 years
27,Nice,5.0,Nice Company with a great management,Nothing that I can think of,Be the first to find this review helpful,2021-06-10, Client Services Manager ,Bangalore Rural,,Former Employee, more than 1 year
28,Great Place to work,4.0,"inclusive work place
challenging work enviornment",None that I can think of,Be the first to find this review helpful,2021-06-09, Technical Project Manager ,,,Current Employee, more than 5 years
29,A place where you can truly work at the Edge,5.0,Unique combination of Tech Startup environment with Enterprise-Grade Products,None I can think of,Be the first to find this review helpful,2021-06-06, Security Architect II ,San Jose," San Jose, San Jose",Former Employee, more than 3 years
30,Amazing company to work for!,5.0,"Good work-life balance, good pay, great culture! Company knows how to take care of its employee.",Nothing as such. Balanced work-life balance.,Be the first to find this review helpful,2021-06-04, Senior Software Engineer ,Tel Aviv-Yafo,,Current Employee, more than 1 year
31,Good Company to work for,5.0,"Free Food, Cab Service, WFH, Insurance",Nothing I can think of,Be the first to find this review helpful,2021-06-03, Anonymous Employee ,,,Former Employee,
32,Great place to work,5.0,"work life balance, good pay","working in shifts, leadership changess",Be the first to find this review helpful,2021-06-03, Platform Engineer ,,,Current Employee,
33,Good place,5.0,It's very good place to work for,the per hour salary for a part time postion,Be the first to find this review helpful,2021-06-03, Software Engineer ,Bangalore,,Current Employee,
34,Devops,5.0,"Work culture, benifits, work life balance",Nothing to mention as cons,Be the first to find this review helpful,2021-06-02, Site Reliability Engineer ,,,Current Employee,
35,Very nice,5.0,"Management, office, colleagues, opportunities and salaries",I haven't seen any issues,Be the first to find this review helpful,2021-06-02, Systems Engineer ,Bangalore,,Current Employee, more than 3 years
36,Good Company,5.0,Good pay. Good work. Good overall.,Slow to change. A lot of paperwork.,Be the first to find this review helpful,2021-06-01, Software Developer ,,,Current Employee,
37,Great Place to work,5.0,"WFH Policy, ESPP, Recognition, Positive Env., Great Bonus",Never found one till now,Be the first to find this review helpful,2021-06-01, Senior Software Engineer ,Albuquerque, NM,Current Employee, more than 3 years
38,Best of the Best,5.0,"- Best Management
- Good exposure
- Good compensation",Rare instances of losing the work-life balance. But mostly its all intact and well planned.,Be the first to find this review helpful,2021-06-01, SDET-II ,,,Current Employee, more than 3 years
39,Devops Engineer,5.0,It was a nice company.,nothing much to think about.,Be the first to find this review helpful,2021-05-31, Devops Engineer ,Bangalore,,Former Employee,
40,Very good,4.0,"Compensation, people, work life balance",Complicated and not very strimligned,Be the first to find this review helpful,2021-05-31, Senior DevOps Engineer ,,,Current Employee, more than 1 year
41,Almost 3B company that can't seem to get out of their own way,4.0,"- Great compensation and benefits
- Academic culture - you can see the MIT roots
- I was surrounded by smart, creative people who were motivated to get results",- Near-constant restructuring creates thrash and saps team morale,Be the first to find this review helpful,2021-05-29, Anonymous Employee ,,,Former Employee, more than 3 years
42,Great company to work for,4.0,"Great workplace, intelligent colleagues, inclusive culture, good compensation and leaves structure, wfh and covid wellness leaves are added advantage",Work might get stressful at times,Be the first to find this review helpful,2021-05-27, Client Services Manager (CSM) ,Bangalore,,Current Employee, more than 3 years
43,Good company,3.0,"Good benefits, managers work well with their people. Contractors are treated well. Inclusive environment with amazing work spaces.","Poor leadership at the VP level. Managers who had long term tenure had program uprooted. Their direction didn't matter to the VP. Pay is low for the industry, and not much room to grow.",1 person found this review helpful,2021-05-27, Specialist ,Cambridge, MA,Former Employee, more than 1 year
44,GOOD company to work,5.0,nice work place and management is good,There is no cons to tell,Be the first to find this review helpful,2021-05-27, SRE/DevOps Engineer ,Bangalore,,Current Employee, more than 3 years
45,Best employee friendly company to work for.,5.0,Employee friendly company. You work with the best of the best people,Growth is slow within departments but cross department movement is not difficult.,Be the first to find this review helpful,2021-05-26, Security Architect ,Bangalore,,Current Employee, more than 5 years
46,Great place to work,5.0,"Compensation, Benefits, Insurance, great office . Awesome colleagues",Nothing as of now. Everything is above standards.,Be the first to find this review helpful,2021-05-26, Senior Business Operations Analyst ,Bangalore,,Current Employee, more than 1 year
47,Great Place to work,5.0,"Office culture, chill atmosphere, helpful employees, employee benefits are quite amazing!",Cant think of any at the moment,Be the first to find this review helpful,2021-05-24, Software Development Engineer In Test (SDET) II ,Bangalore,,Current Employee,
48,Great Place to work,5.0,"Great Place, Great office, good culture",Few ppl comes to office,Be the first to find this review helpful,2021-05-21, Buniness Operations ,Bangalore,,Current Employee, more than 3 years
49,Good place to work,3.0,Very smart colleagues. Excellent benefits and compensation increases,Company strategy on Web and Security sucks. Attrition high. Becoming very political,1 person found this review helpful,2021-05-21, Regional Vice President (RVP) ,,,Former Employee, more than 8 years
50,It is what it is,4.0,"benefits, teamwork, and culture it what keeps it going.",too many internal good ole boy clubs,Be the first to find this review helpful,2021-05-20, Technical Project Manager ,Denver, CO,Current Employee, more than 1 year
51,"Excellent company, great benefits",5.0,"Company has many benefits available like tuition reimbursement, certification reimbursement, health and wellness reimbursement",Pay rates are not as competitive as they could be,Be the first to find this review helpful,2021-05-19, Information Security Architect ,Fort Lauderdale, FL,Current Employee, more than 5 years
52,"Great company, values employee personal life",5.0,Takes good care of. Employees,Typical a product based company,Be the first to find this review helpful,2021-05-19, Anonymous Employee ,,,Current Employee,
53,Great company,5.0,"Good benefits, great building and amenities.",Opportunity for stronger management level,Be the first to find this review helpful,2021-05-17, Program Manager ,Cambridge, MA,Current Employee,
54,pretty good gig,4.0,remote and onsite opportunities available,you either love it or you don't. it's the internet,Be the first to find this review helpful,2021-05-17, Senior Technical Support Engineer ,Santa Clara, CA,Current Employee, more than 5 years
55,Great Company,5.0,Great teamwork and work-life balance.,None at the current time.,Be the first to find this review helpful,2021-05-17, Administrative Assistant ,,,Former Employee,
56,Stable,4.0,less growth potential relative to peer cdns but stable,frequent org changes during the year,Be the first to find this review helpful,2021-05-17, Program Manager ,,,Current Employee,
57,Great Company Culture,5.0,"- Great People
- Leadership empathetic during pandemic
- Wellness Days
- Great Compensation
- Industry Leaders","- Recent Reorganization caused some confusion and questions
- Need to close some technical gaps in products",1 person found this review helpful,2021-05-17, Anonymous Employee ,,,Current Employee,
58,Good place to work,4.0,"Nice Place to Work
Get all the facilities, compensation, bonus, will get chance to explore lot and learn new things.",Management not good for me.,Be the first to find this review helpful,2021-05-17, Anonymous Employee ,Bangalore,,Current Employee, more than 3 years
59,Great place to work.,5.0,"Great culture. 
People first then profit. 
Work life balance. 
Very employee friendly company.
You will be rewarded for your work. No need of politics.",Limited tech stack in some team.,Be the first to find this review helpful,2021-05-17, Software Engineer ,Bangalore,,Former Employee, more than 3 years
60,Great place to work,4.0,Depending on the team great place to work,Company short sighted about the future. A lot of management shake ups / realignments happen every year.,Be the first to find this review helpful,2021-05-16, Software Engineer II ,Bangalore,,Current Employee, more than 3 years
61,Good company with lot of work pressure,4.0,"Salary, Hike, vacation and other benifits are worth the money",There is no work life balance when it comes to work,Be the first to find this review helpful,2021-05-15, Software Development Test Engineer ,Bangalore,,Current Employee, more than 1 year
62,Good company,4.0,"Flexible, transport, food, 
Bonus and stock",After reorg and hierarchy setting in there is more of process and less chance for creativity,1 person found this review helpful,2021-05-15, Technical Support Engineer ,Bangalore,,Former Employee,
63,A Company to be in.. Learn and grow,5.0,"A very Dynamic Company with a pool of good tallented resources.
The Company Takes care of its employees wellebeing like no other.
A cohesive managment & Team structure followed with the right intent and mindset for Business, innovation, technology and Employee benifit.

During the pandemic the managment has been a helping hand in various ways which has gained great respect within the org.",A person who is not uptodate and not having a learning/evolving habbit cannot thrive here long term.,Be the first to find this review helpful,2021-05-13, TSE II ,Bangalore,,Current Employee, more than 5 years
64,Best Job I've Ever Had,5.0,"Akamai is a highly functional company, with the best culture I have ever been able to be a part of. The benefits are good, and leadership is solid.","High stakes, high pressure. Working with the biggest companies in the world is not for everyone.",Be the first to find this review helpful,2021-05-12, Service Line Manager ,Denver, CO,Current Employee, more than 5 years
65,Fantastic technology and people,5.0,Fantastic technology and people. I feel proud to work at this company.,"The work can be high stress sometimes, but most likely better than the industry in general.",Be the first to find this review helpful,2021-05-12, Anonymous ,London," England, England",Current Employee, more than 3 years
66,Proud to work for Akamai,5.0,"Great pay and benefits
Leadership cares about its employees
A lot of empathy and flexibility shown during Covid","Can be very dynamic and fast-paced
Decisions are often made last minute and teams are constantly having to re-adapt",Be the first to find this review helpful,2021-05-11, Director ,Cambridge, MA,Current Employee, more than 3 years
67,Good company,4.0,"Good product, culture and working environment",None I can think og,Be the first to find this review helpful,2021-05-11, Sales Executive ,,,Former Employee,
68,good company,3.0,"work life balance, Bonus, Creative people",Restriction on mobility Or Growth,Be the first to find this review helpful,2021-05-07, Database Administrator (Database Administrator) ,Bangalore,,Current Employee, more than 8 years
69,Stable company,4.0,Nice office in great location,"Old fashion company
My manager was from different country",Be the first to find this review helpful,2021-05-06, Technical Support Engineer ,Tel Aviv,,Current Employee,
70,Amazing,5.0,Employees are well treated and great culture,No disadvantages at the company,Be the first to find this review helpful,2021-05-05, Senior Customer Success Manager ,Bangalore,,Former Employee, more than 5 years
71,Excellent Place to Work,5.0,"Dynamic, Young at heart organisation, cares for employees",India Management in the recent times,1 person found this review helpful,2021-05-05, Senior Account Executive ,Bangalore,,Current Employee, more than 8 years
72,Review,4.0,Everything is good about akamai,Pay is not with the market expectation,Be the first to find this review helpful,2021-05-04, Software Engineer II ,Bangalore,,Current Employee, more than 5 years
73,Excellent company to work for,4.0,Very employee friendly. Stable company. Lot of opportunities to dig in for a long time,"Bit old fashioned, changes doesn't happen at a rapid speed",Be the first to find this review helpful,2021-05-03, Principal Software Engineer ,,,Current Employee,
74,Increasingly toxic work environment.,1.0,Time off policy is pretty good.,Zero growth opportunity. Expectation of working beyond scope and pay level. Toxic work environment has long been ignored. HR does not support employees. Benefits continue to be cut. No company culture. Yearly layoffs. Employees are burnt out and checked out. Most are trying to get by while waiting for the next round of sev packages...,4 people found this review helpful,2021-05-03, Marketing Manager ,,,Current Employee, more than 3 years
75,good,5.0,good for challenging environment and self-motivated members,non competitive pay due to small scaling business,Be the first to find this review helpful,2021-05-03, Business Development Manager ,Tokyo,,Current Employee,
76,Best company to work for,5.0,"Akamai is very very good at taking care of it's employees.
A healthy work life balance.
People are very humble including higher management.",For some of the teams the technology/tools that they use are bit outdated.,Be the first to find this review helpful,2021-05-03, Software Engineer II ,,,Former Employee,
77,Great place to work,5.0,"Smart people, compassionate company ethic, very professional treatment by management and peers.",There can be some difficulty finding relevant and up to date documentation.,Be the first to find this review helpful,2021-05-03, Software Engineer Senior II ,Cambridge, MA,Current Employee, more than 5 years
78,Excellent place to work at,4.0,"Great culture, Pay, perks, they take care of all your financial needs.","if you are unlucky to report to a bad Manager, you might think its not (no more) a great place to work at",Be the first to find this review helpful,2021-05-03, Anonymous Employee ,,,Current Employee,
79,great place to work,5.0,Great place to work. Employee friendly. Work life balance. Take care of employees needs. They care,Not always ready to change. Lesser Fun activities.,Be the first to find this review helpful,2021-05-03, Director ,Bangalore Rural,,Current Employee, more than 8 years
80,Great company!!,5.0,"People, flexibility in hours, very interesting","located in Tel Aviv, but there an option to WFH",Be the first to find this review helpful,2021-04-28, Senior Software Engineer ,Tel Aviv-Yafo,,Current Employee, more than 3 years
81,Great company in its domain,4.0,Lots of focus on employee wellness,"Depending on the role, limited career opportunities",Be the first to find this review helpful,2021-04-28, Anonymous Employee ,,,Current Employee,
82,"Good company, good overall benefits package, good WLB",4.0,"Good work life balance, good pay and nice benefits like office cabs, pantry, own cafeteria, modern office and a gaming area",Still working on old tech stack,Be the first to find this review helpful,2021-04-27, Software Engineer II ,Bangalore,,Current Employee, more than 5 years
83,Great place to work at,4.0,"Amazing work culture.
Great learning.
Employee benefits are amazing.
Employee centric management
Marketing leading CDN",Any CDN works on niche technology,Be the first to find this review helpful,2021-04-27, Senior Solutions Architect ,Bangalore,,Current Employee, more than 3 years
84,Great place to work.,5.0,Very flexible and very nice people.,Not enough vacation time off.,Be the first to find this review helpful,2021-04-26, Senior Software Developer ,Ottawa, ON,Current Employee,
85,Good run at Akamai,4.0,Work-life balance is something you need to work hard to achieve.,"A good diverse group of teammates/employees, lots of different cultures and they take inclusivity seriously. Opportunities to grow if you look for them. Lots of senior management who were willing to be mentors.",Be the first to find this review helpful,2021-04-26, Anonymous Employee ,,,Former Employee, more than 3 years
86,Work life balance | Secured Job | Good Package | Good Incentives,5.0,"Work-Life Balance 
Secured Job 
Good Package 
Good Incentives",Work Re-orgs are not well planned,Be the first to find this review helpful,2021-04-25, Senior Software/Test Developer ,,,Current Employee,
87,"Great people and interesting work, feels like a family",5.0,"Good benefits, good management and friendly working environment",Tech stack not necessarily at the cutting edge,Be the first to find this review helpful,2021-04-22, Software Engineer II ,Santa Clara, CA,Current Employee, more than 1 year
88,Amazing company,5.0,Best company i've ever worked for,Nothing to complaint about Akamai,Be the first to find this review helpful,2021-04-20, Service Line Manager ,Heredia,,Current Employee,
89,Great Place to work,5.0,"Customer focussed.
Great benefits for employees.
Internal collaboration is excellent",None that I can think of.,Be the first to find this review helpful,2021-04-20, Anonymous Employee ,,,Current Employee, more than 1 year
90,Fantastic Company,4.0,Great experience with smart people,"Big company, lots of politics",Be the first to find this review helpful,2021-04-19, Senior Finance Manager ,Menlo Park, CA,Former Employee,
91,Great technology. Questionable management,3.0,Technology Leaders CDN Innovation Profitable,Politics Marketing Slow Red Tape,Be the first to find this review helpful,2021-04-19, Anonymous Employee ,,,Former Employee,
92,TSE salary,5.0,"Great environment. 
Career Growth.
Good salaries and bonus.
Top 5 great place to work.",None I can think of,Be the first to find this review helpful,2021-04-16, Technical Support Engineer ,San Jose," San Jose, San Jose",Current Employee, more than 3 years
93,Every year like a new year,3.0,"You will work in the center of Silicon Valley
Still have some great engineers",Crazy management and a lot of bureaucracy,Be the first to find this review helpful,2021-04-16, Manager ,Santa Clara, CA,Former Employee,
94,Good culture / good policies / Surprise firings,3.0,"Work life balance.
 Policies. 
HR","Firing. 
 Not challanging java projects(depends on project). .Just internal tools.",Be the first to find this review helpful,2021-04-16, Senior Software Engineer ,Bangalore,,Former Employee, more than 1 year
95,Big changes left a lot of people behind,3.0,"Great compensation and benefits, good people, generally caring company that tries to do well by its employees","Lately, lots of politics blocking progress in several areas. Turf wars. The recent reorganization resulted in about a 4% layoff... but they treated those people very well. Worse off are some of us left behind, and I was a lucky one. I was effectively demoted without cause, despite consistently very good reviews. The rising tide of the reorg floated some boats but sank far more others than it should have; many folks were pulled off of leadership and management tracks for no good reason; some people were put on PIPs for poor reasons, effectively managing them out without severance or the good treatment for those who were laid off. This has been very disappointing treatment of people who have been seen as valuable (but perhaps expensive) employees. A lot of very good people are leaving. I’m sure things will shake out and they will do well and be a great employee again, but this was a very disappointing end game for many of us. And it WILL be the end game.",14 people found this review helpful,2021-04-16, Principal ,Cambridge, MA,Current Employee, more than 5 years
96,Great place to work.,5.0,Great perks. Very progressive. A lot of smart people. Access to all aspects of internet technologies. Outstanding W/L Balance.,Pay is average. CDN Tech getting stale. Management lacks focus.,1 person found this review helpful,2021-04-15, Senior Technical Project Manager ,,,Current Employee, more than 5 years
97,Strong culture for self-motivated individuals,4.0,Strong work/life balance. Competitive benefits.,Mediocre overall compensation compared to rest of industry.,Be the first to find this review helpful,2021-04-15, Finance Manager ,San Francisco, CA,Current Employee,
98,Great Place to Work !,5.0,"Employee benefits
Growth opportunities 
Pays really well.
Decent hike and bonus.
Flexible work options ( WFH)
Amazing employee benefits - Food / Fitness / Health Camps / Cab / Education Assistance / Interest Free Loan / 
Employee Stock Options and RSU 
Good work-life balance
Great people to work with","1.Occasional layoffs that have started happening in the past 3 years,
2.Job titles / Designations and roles are not well aligned. 
Ex. Network Delivery Architects are like Program Managers and Network Implementation Managers and Infrastructure Delivery Managers are like Project Managers.",1 person found this review helpful,2021-04-15, Network Delivery ,Bangalore,,Former Employee, more than 10 years
99,Good for entering into a technical field,4.0,Growing company and have good benefits. Good work-life balance,Management can be better. They focus mostly on numbers,Be the first to find this review helpful,2021-04-14, Technical Support Engineer ,Kraków,,Current Employee, more than 3 years
100,Cloud Security,4.0,"Culture, benefits, work life balance, remote flexibility.","Siloed product set, vision, turnover.",Be the first to find this review helpful,2021-04-13, Sales ,,,Current Employee, more than 5 years
101,Worst company I have ever worked for,1.0,Competitive pay; great location; successful company,Dishonest manager. Tons of politics. I felt completely taken advantage of.,2 people found this review helpful,2021-04-12, Human Resources ,,,Former Employee,
102,Nice company,5.0,"technologies. workload, people, office, culture",reorganisation of units happens very often,Be the first to find this review helpful,2021-04-12, Software Development Engineer In Test (SDET) II ,,,Former Employee, more than 3 years
103,No1 CDN vendor W.W,5.0,Good compensation. Stable business revenue.,It needs more to clarify the future business.,Be the first to find this review helpful,2021-04-11, Major Account Executive ,Seoul,,Current Employee,
104,Good company,4.0,Good opportunity to grow for one who is ready to take on resposibility,Nothing much to mention yet,Be the first to find this review helpful,2021-04-09, Senior Software Engineer II ,,,Former Employee,
105,Review,5.0,"Lots of knowledgable people, in specific technology areas",Frequent changes to management structures,Be the first to find this review helpful,2021-04-08, Software Engineer Senior -II ,Cambridge, MA,Current Employee, more than 5 years
106,Good company,5.0,Good company to work for,No cons that i can think of,Be the first to find this review helpful,2021-04-07, Anonymous Employee ,,,Current Employee, more than 3 years
107,Marketing Manager at Akamai,3.0,Amazingly brilliant people and products offered,"Resources within Marketing are very nimble, causing long hours and extremely high expectations to balance work/life",1 person found this review helpful,2021-04-03, Senior Marketing Manager ,,,Former Employee, more than 1 year
108,Pretty good,5.0,"Great work life balance, Good culture","Not much growth, Average comparitive pay",Be the first to find this review helpful,2021-04-02, Software Development Engineer In Test (SDET) II ,Boston, MA,Current Employee, more than 1 year
109,Great place to work,5.0,"Good culture, good benefits, good work-life balance.",None that i can think of.,Be the first to find this review helpful,2021-04-02, Senior Solutions Architect ,Kraków,,Current Employee,
110,good company to work for,5.0,good to work as usual,none as I said for reviewing,Be the first to find this review helpful,2021-03-31, Anonymous Employee ,,,Current Employee,
111,Experience,5.0,"Work culture, work life balance, team support, team ethics, company culture, bonus benefits etc",Not much to write on cons,Be the first to find this review helpful,2021-03-30, Software Development Engineer In Test (SDET) II ,Bangalore Rural,,Current Employee, more than 3 years
112,Average tech company,3.0,Good benefits by the company,Pay less salary than the counterparts,Be the first to find this review helpful,2021-03-29, Data Scientist ,,,Current Employee,
113,Good company to work for,3.0,"Flexible work environment, cool technology","Understaffed, leadership seems intent on doing more with less",2 people found this review helpful,2021-03-29, Human Resources ,Cambridge, MA,Current Employee,
114,Good for a 2-3 year stint,4.0,Good people policies and management,Too many changes. Org Changes. Vision Changes.,1 person found this review helpful,2021-03-26, Senior Product Manager ,Bangalore,,Current Employee, more than 1 year
115,One of the best place to work,5.0,"Wonderful Team management
Good Salary
One of the best place to learn for further opportunities",I did not find any points to this.,1 person found this review helpful,2021-03-26, Systems Administrator ,Bangalore,,Former Employee, more than 5 years
116,Growth environment,5.0,"Always something new coming up, fast pace and agile. Inspiring leaders. Good benefits. Flat and inclusive. Lots of training available to grow and develop a career.","Some processes are not well defined, which can be surprising for a 20 years old company.",Be the first to find this review helpful,2021-03-26, Senior Recruiter ,Tokyo,,Former Employee,
117,Work,5.0,Good. Nice workplace and culture.,Nothing as of now to share.,Be the first to find this review helpful,2021-03-25, Software QA Lead ,Bangalore,,Current Employee,
118,Akamai review,5.0,friendly and warm atmosphere plus table tennis,not a lot of balls for table tennis,Be the first to find this review helpful,2021-03-23, Tech Support Engineer ,Kraków,,Former Employee,
119,Good Place,4.0,Flexible work environment and smart people,no much growth within the company,Be the first to find this review helpful,2021-03-22, Senior Major Account Executive ,San Jose, CA,Current Employee, more than 5 years
120,Great company to work for,5.0,"- Great work life balance
- Quality work",- Lack of performance related bonuses,Be the first to find this review helpful,2021-03-22, Technical Project Manager ,Denver, CO,Current Employee, more than 3 years
121,Great work life balance but not good compensation.,3.0,Very good work life balance. Decent benefits.,"Low pay, not much RSU, low bonuses, low raises.",Be the first to find this review helpful,2021-03-20, Software Engineer ,Boston, MA,Current Employee,
122,singapore,2.0,work /life balance and fun culture,"politics, feudal organisation structure and traits",Be the first to find this review helpful,2021-03-19, Sales ,Singapore,,Former Employee,
123,Overall good experience until 2020,4.0,Great work/life balance. Very smart people. Solved real-world problems. Industry leader.,Everything is tribal knowledge. Lack of structure. Compensation continues to get worse and worse every year.,Be the first to find this review helpful,2021-03-19, Senior Channel Alliance Executive ,Chicago, IL,Current Employee,
124,Great company culture,5.0,"Great company culture, great execs/leadership team!",Little percieved growth opportunity within marketing org,Be the first to find this review helpful,2021-03-17, Marketing Specialist ,,,Current Employee,
125,Good company,3.0,Good office location and brand recognition,Very stable can get boring,Be the first to find this review helpful,2021-03-17, Solutions Architect ,Tokyo,,Current Employee,
126,A good place to work but with cavaeats,4.0,They take excellent care of employees,Management is a bit fossilized so upward mobility maybe restricted,Be the first to find this review helpful,2021-03-17, Anonymous Employee ,Bangalore,,Current Employee, more than 3 years
127,Good company,5.0,Good company overall in terms of benefits & WLB,Can't think of any at this point,Be the first to find this review helpful,2021-03-16, Senior Solutions Architect ,Seattle, WA,Current Employee,
128,"Great Company, Great Environment",5.0,"Flexible work environment, fantastic and stable leadership, great technology.","Sometimes things can move more slowly than industry needs, some orgs can be siloed",Be the first to find this review helpful,2021-03-15, Senior Solutions Architect II ,Reston, VA,Current Employee, more than 8 years
129,Akamai,5.0,Good working environment and perks,No cons as of now,Be the first to find this review helpful,2021-03-12, Anonymous Employee ,,,Current Employee, more than 5 years
130,Overall Review,3.0,"Good place to work, lots of benefits","bad managers, lots of politics",Be the first to find this review helpful,2021-03-11, Senior Associate ,,,Current Employee,
131,Great and New Ideas to work on,5.0,New ventures of the company to explore,"Nothing as of now, flexible and considerate",Be the first to find this review helpful,2021-03-09, Software Engineer(Internship) ,Bangalore,,Current Employee,
132,Great company for seasoned pros,5.0,"Treats employees exceptionally well, good parents are in management and snr management.","Slow career development, those starting out",Be the first to find this review helpful,2021-03-09, Software Engineer II ,Cambridge, MA,Current Employee, more than 3 years
133,Analysis Paralysis,4.0,The company offers some great benefits beyond work.,Over analysis of meaningless KPI’s and just about every other little thing.,2 people found this review helpful,2021-03-09, Marketing Director ,,,Former Employee, more than 3 years
