,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
10,Cssr,3.0,"Pay is ok, and advancment",Customers kinda suck and certain managers,Be the first to find this review helpful,2021-05-28, CSSR ,Columbus, OH,Current Employee, more than 3 years
11,Pays the bills,2.0,Work life balance and good health insurance was the highlight.,Over worked and under supported was the bummer.,Be the first to find this review helpful,2021-05-20, Customer Service Representative ,,,Former Employee,
12,It will a pleasure  to work with you,4.0,Effective and efficient as per my opinion,No consequences yet found by me,Be the first to find this review helpful,2021-05-13, Data Entry Associate ,Rudrapur,,Current Employee,
13,Turn around,3.0,New Management to grow the company,Legacy management was very short term focused and lacked a balanced P&L strategy,Be the first to find this review helpful,2021-05-10, Operations ,Columbus, OH,Former Employee, more than 5 years
14,Meh,2.0,Great company and ok benefits,Poor management. Didn’t take employees seriously,Be the first to find this review helpful,2021-05-08, Anonymous Employee ,,,Former Employee,
15,Best recommended to avoid,1.0,You can take care of your family without doing anything. You will be paid accordingly. Lot married folks working here without knowing any modern technology.,"Poor salary
Won't able to learn new technology",Be the first to find this review helpful,2021-05-05, Software Engineer ,Bangalore,,Current Employee,
16,Review,2.0,"Many knowledgeable, skilled people throughout the company",Questionable ethics of a few senior managers in Accounting,1 person found this review helpful,2021-05-04, Accounting Manager ,Columbus, OH,Current Employee,
17,Work culture,5.0,good company to work and I like the culture,No cons as of now,Be the first to find this review helpful,2021-05-02, Complaints Officer ,Bangalore,,Current Employee, less than 1 year
18,Great company horrible customers,4.0,"A very positive work environment, pay is great, benefits are great.","You will get cussed at every day. Screamed at, and bullied by customers.",Be the first to find this review helpful,2021-04-30, Customer Advocate ,,,Current Employee, more than 1 year
19,About company,3.0,"Good company, good to learn many areas",Not find any cons as such,Be the first to find this review helpful,2021-04-24, Software Engineer ,,,Current Employee,
20,headline,5.0,great company to work with,no downside working for ADS,Be the first to find this review helpful,2021-04-21, Software Engineer ,Boston, MA,Current Employee,
21,Work from home,4.0,Alliance Data pays the same wage whether you work from home or in the office.,Cliquish management can be frustrating to deal with.,Be the first to find this review helpful,2021-04-20, Senior Account Supervisor ,Westminster, CO,Former Employee, more than 3 years
22,hbfibf,4.0,they pay really well and flexible schedule,very competitive job and will lose it,Be the first to find this review helpful,2021-04-15, Collections Specialist ,San Antonio, TX,Current Employee,
23,Great place to work,5.0,Current technology for analytics work,Job titles are too yesterday for an innovative company,Be the first to find this review helpful,2021-04-12, Senior Consultant ,Columbus, OH,Former Employee, more than 3 years
24,Fast Turnaround,2.0,"Overtime, Night shift, people you meet,","Group clicks, undertrained management, favorites",Be the first to find this review helpful,2021-04-07, Customer Service Representative II ,Lenexa, KS,Former Employee, more than 1 year
25,Dent,3.0,Bonus was good some months,None that I can think of,Be the first to find this review helpful,2021-04-06, Debt Collector ,Westminster, CO,Current Employee,
26,Its good,3.0,Very high pros in this company,Low cons here in this company,Be the first to find this review helpful,2021-04-06, Associate ,Bangalore,,Current Employee, less than 1 year
27,Sinking ship,3.0,Decent benefits and starting pay.,No real advancement opportunity for females. No diversity in the organization. There is huge pay disparity between male and female salaries for the same position. The executive leadership is primarily made up of white males.,1 person found this review helpful,2021-04-02, Anonymous Employee ,,,Current Employee, more than 1 year
28,Good Culture.  Still finding their way,4.0,Good culture - people respect each other and input is taken from all participants. PTO is available and encouraged to be used.,A bit lost on how to transition from old business model to what they want to be post pandemic and post new-CEO,1 person found this review helpful,2021-03-24, Senior Manager ,Columbus, OH,Current Employee, more than 3 years
29,Rankings,3.0,Fun at tne office usually,Bad mgmt especially in the misdle,Be the first to find this review helpful,2021-03-23, Manager ,,,Former Employee,
30,"Good benefits, decent pay, not empowering",4.0,"Good benefits
Decent pay
Flexible schedule
Option to work from home","Lots of rules
Not a lot of room for growth
Treat you like a child (micromanaging)",Be the first to find this review helpful,2021-03-22, Payment Solutions Advocate ,Milford, OH,Former Employee, more than 1 year
31,"Company is getting better, IT is not",3.0,"New president is making positive changes that have been needed for awhile. Vacation days, benefits, transparency.","My department continues to not treat people fairly, they don't reward those that go the extra mile on a regular basis. The hard workers are treated and rewarded the same as those that do not perform.",Be the first to find this review helpful,2021-03-18, Senior Manager IT ,,,Current Employee, more than 8 years
32,Great,4.0,Good bonuses and benefits for employees,Some goals were unachievable some months,Be the first to find this review helpful,2021-03-18, Collections Specialist ,,,Former Employee,
33,"Promotes DE&I, but does not actually execute on it",1.0,"Growing, good place to work if you live in the Columbus area and want to work in the banking industry. Some people have been working at ADS for more than 20 years.","If you have an ineffective manager, nothing will be done about it. Inquiries to HR or to Legal will go unanswered. Too many reorganizations in the last 3 years, where the account management/marketing teams just keep getting promoted and promoted and promoted, while other teams lack resources. Your only remedy will be to resign and leave the Company. Lack of diversity at the senior management levels.",Be the first to find this review helpful,2021-03-16, Business ,,,Current Employee,
34,It’s Okay,2.0,The Pay Is Aye ok,Micro Management and Disrespectful Higher-ups,Be the first to find this review helpful,2021-03-15, Customer Service Representative ,Columbus, OH,Former Employee, more than 5 years
35,Terrible company,1.0,The day ends at some point,They will walk in one day and fire your whole office,Be the first to find this review helpful,2021-03-13, Customer Retention Representative ,,,Former Employee,
36,Nice working her,4.0,timely salary good perks Innovative,Not that I am aware of,Be the first to find this review helpful,2021-03-09, Business Development Manager ,New Delhi,,Former Employee, more than 1 year
37,Great Company,5.0,Lots of potential for growth across the entire company,The pandemic really created issues for certain segments,Be the first to find this review helpful,2021-03-04, Senior Security Officer ,San Antonio, TX,Current Employee,
38,Good work life balance,4.0,"Good pay, amicable people, Helpful management, Lots of opportunities for upskilling","No Bonus/ variable component, no stock options",Be the first to find this review helpful,2021-03-04, Validation Analyst ,Bangalore,,Current Employee, more than 1 year
39,Don’t.,2.0,Very few I don’t like it,Customer service is restricted. At mercy of corporate policies.,Be the first to find this review helpful,2021-03-03, Clerical ,Clovis, NM,Current Employee,
40,Good,4.0,Good work environment and benefits,None mostly good not many things in cons,Be the first to find this review helpful,2021-03-01, Project Manager ,,,Former Employee,
41,Amazing until it's not,4.0,Make own sched pay PTO plan,Cliches brown nosing sugar coating,1 person found this review helpful,2021-02-23, Collections Specialist ,Lenexa, KS,Former Employee, more than 3 years
42,Transforming,4.0,"Culture and benefits, remote work",Unsure on future of company due to economic state,Be the first to find this review helpful,2021-02-22, Associate Campaign Manager ,Columbus, OH,Former Employee, more than 5 years
43,Acquisiton,2.0,Big company based around the country,Very old and antiquated workstyle,Be the first to find this review helpful,2021-02-17, Merchant Success Manager ,New York, NY,Current Employee,
44,Work,4.0,"Work life balance
Good paycheck
Competitive environment
Supportive employees",Haven't found one till now,Be the first to find this review helpful,2021-02-12, Data Engineer II ,,,Former Employee, less than 1 year
45,Great Company,5.0,"Alliance Data has been the greatest company I ever worked for. No only do they pay you generously but their health coverage is second to none. The work culture is one of the greatest things about the company, there is bias or favoritism. It has been a great experience and a honor to be employed by Alliance Data.",The entire security staff were laid off shortly after the COVID-19  out break.,Be the first to find this review helpful,2021-02-11, In House Security Officer ,Draper, UT,Former Employee, more than 1 year
46,TOXIC,1.0,Pay was good for role.,Management (certain) creates toxic environment to work in.,Be the first to find this review helpful,2021-02-11, Manager ,Columbus, OH,Former Employee,
47,review,4.0,"diversity, ethics, community involvement, benefits",less physical separation of upper management from general employees - be comfortable in the contact with all employees no matter who,Be the first to find this review helpful,2021-02-10, Auditor ,Plano, TX,Former Employee, more than 10 years
48,Good job,4.0,Allowed to make your own schedule with the 40 hours,The commission requirements were weird but understandable,Be the first to find this review helpful,2021-02-09, CA2 Collections Representative ,Columbus, OH,Former Employee,
49,"Love the company, not a fan of the job",4.0,"The company offers awesome benefits, Majority of leadership is very approachable, the positive first coaching makes life much easier, majority of leaders do not micromanage, the pay is awesome, opportunities to ""try before you buy"" with other positions, seriously one of the best companies I have worked for as far as benefits and people.","Very stressful, they have a no disconnect policy so you have to take all of the abuse the customer throws your way, we are told we can disconnect if the call becomes unproductive (as SAS) but I was written up for ""Verbally disconnecting a call"" whatever that means (always a top rated associate), there is no option for the customer to recieve a call back so they are made to sit on hold while they get angrier, the training seems to be awesome but majority of the escalated calls could have been handled by the 1st person, once you get to SAS it is difficult to move up so if you start on the phones expect to be there for a while, there are small changes that could be made (like adding chat support) that would make a huge difference in the employees and customers lives with our company, but they are very slow to implement changes that most companies already have. I know so many people that have said this job has thrown them to depression at one time or another. They do have a lot in place for mental health but with some small changes, you wouldn't need so many bandaid solutions.",Be the first to find this review helpful,2021-02-04, Senior Account Specialist ,Lenexa, KS,Current Employee, more than 1 year
50,Poor,1.0,"If you're able to make it through one of the many layoff sessions then, the job is great",Odds are you'll get laid off eventually.,Be the first to find this review helpful,2021-02-03, Security Officer ,Columbus, OH,Current Employee, more than 1 year
51,Nothing but liars,1.0,They pay you good money,Everything else about this company,Be the first to find this review helpful,2021-02-02, Credit Analyst ,,,Former Employee, more than 1 year
52,Make your own schedule,4.0,Make your own schedule great pay,Stressful and they take away overtime,Be the first to find this review helpful,2021-02-02, Remote Customer Service Representative ,Johnstown, OH,Current Employee,
53,good work environment,3.0,Nice people to work for,work life balance was the problem,Be the first to find this review helpful,2021-01-28, Account Executive ,,,Former Employee,
54,Employee Support,4.0,Excellent support for remote workers while Covid risk exists,Communication from leadership and the sense of camaraderie while isolated working at home.,Be the first to find this review helpful,2021-01-28, Senior Systems Analyst ,Columbus, OH,Current Employee,
55,Not worth it,3.0,"Benefits, PTO, somewhat flexible with scheduling.",Constantly berated by account holders. Certain managers were difficult to work with.,Be the first to find this review helpful,2021-01-27, Collections Representative ,Milford, OH,Former Employee,
56,Flexible Scheduling for part time,3.0,"Flexible scheduling, good place for someone going to school or with a difficult schedule can work either morning or night shifts.","Repetitive, inbound calls call center environment must be able to sit there and take 100+ calls on 8 hour shifts",Be the first to find this review helpful,2021-01-26, New Accounts Representative ,Rio Rancho, NM,Former Employee, more than 1 year
57,Customer Service Rep,4.0,Alliance Data is a very organized company.,Alliance Data doesn't have many opportunities for growth,Be the first to find this review helpful,2021-01-25, Customer Service Representative ,,,Former Employee, more than 1 year
58,A lot of smart people but no leadership or direction,3.0,Most employees are very kind and smart,"No work life balance, teams are too lean on the client services side.There is no leadership alignment (i.e. client services is not aligned with marketing, finance, brand production etc. There is also no accountability or communication from above the director level. Career development is not clear. The company laid off tons of employees at the end of 2019 and is now trying to fill a ton of open roles. It doesn't make any sense and they let a lot of great talent go",1 person found this review helpful,2021-01-25, Client Services ,,,Former Employee, more than 3 years
59,"Good Company, rewarding experience",5.0,"Excellent benefits, Flexible work schedule",Slow to make changes and respond to a dynamic environment,Be the first to find this review helpful,2021-01-23, Database Administrator (Database Administrator) ,Denver, CO,Former Employee, more than 8 years
60,Quick review,3.0,It was good for a job,They started laying people off,Be the first to find this review helpful,2021-01-23, CoBrand Resolution Specialist ,Lenexa, KS,Former Employee, more than 5 years
61,No guidance,2.0,People were friendly and helpful,A very disorganized company with no clear direction.,Be the first to find this review helpful,2021-01-13, Merchant Partnerships Manager ,Columbus, OH,Former Employee,
62,Good company,3.0,"Good company,pay,friendly co workers over all good company",Nothing good company to work for,Be the first to find this review helpful,2021-01-13, Customer Service Representative ,Airway Heights," WA, Optional[WA]",Former Employee,
63,Amazing place,5.0,"Scheduling system, great atmosphere, great benefits, great extras","Split days off, rotating holidays",Be the first to find this review helpful,2021-01-12, Collections ,Coeur d'Alene, ID,Former Employee, more than 1 year
64,Good place to start a career,3.0,"Good benefits, pay and bonuses",Communication is lacking at times,Be the first to find this review helpful,2021-01-12, Fraud Detection Analyst ,Columbus, OH,Current Employee, more than 5 years
65,Don't work here,1.0,The people who work there.,"They will cut your position with no notice. Don't work for this company unless you can't find any else. Even still, keep looking because you can be removed at anytime for no reason.",Be the first to find this review helpful,2021-01-12, Leadership ,Columbus, OH,Former Employee, more than 3 years
66,Employee friendly,4.0,"VERY employee friendly culture, they take good care of employees",EVERYTHING must be perfect leading to very slow decision making,1 person found this review helpful,2020-12-31, Human Resources Manager ,Overland Park, KS,Former Employee, more than 3 years
67,Decent,4.0,Job security is a plus,Not much room for growth,Be the first to find this review helpful,2020-12-29, Associate ,,,Current Employee,
68,Work,3.0,Great pay and benefits pto,Always changing. It is Normal though.,Be the first to find this review helpful,2020-12-29, Customer Service Representative ,,,Current Employee,
69,Good Starter entry level to a career,2.0,Comenity &Comenity Capital bank are both good starter entry level position to a collection career.,Not much growth after the first two years.,Be the first to find this review helpful,2020-12-28, Collection Associate ,Columbus, OH,Current Employee,
70,Senior IT Auditor,4.0,"Upward movement, considerate management team for the most part, great facilities","Hard deadlines, high expectations. Nothing out of the ordinary",Be the first to find this review helpful,2020-12-27, Senior IT Auditor ,Plano, TX,Former Employee, more than 3 years
71,Great experience,3.0,Wonderful company that cares about employees,The work is hard on your mental state,Be the first to find this review helpful,2020-12-03, Collection Representative ,Coeur d'Alene, ID,Former Employee, more than 1 year
72,Ok pay,4.0,Ok pay offers overtime really busy during holiday season,Stressful non stop calls short breaks,Be the first to find this review helpful,2020-11-30, Telemarketing ,Lenexa, KS,Current Employee, more than 1 year
73,Great Culture,4.0,Flexible arrangement and great culture,"New management hiring external, not alot of room for internal growth",Be the first to find this review helpful,2020-11-24, Analytics Lead ,Columbus, OH,Current Employee, more than 5 years
74,Review,2.0,Good people. Work life balance,"mass layoff. They use people, but don't promote",Be the first to find this review helpful,2020-11-23, Employee ,Columbus, OH,Former Employee, more than 8 years
75,Great company to work,4.0,"Great trainings, great environment. It's an amazing company to work for.","Understaffed in mho, be ready to take a lot calls. Needs to change a lot to improve customers experience overall",Be the first to find this review helpful,2020-11-22, Customer Service Associate ,Rio Rancho, NM,Former Employee, less than 1 year
76,Collections,3.0,"You get to work from home, and set your own schedule. You can make changes to your schedule independently as late as midnight the day before your shift.","Some of the supervisors are flaky, and the help you receive is only as good as the supervisor that you're reporting to. Sometimes bonuses are great, and other times they're almost non-existant even when you preform well individually.",Be the first to find this review helpful,2020-11-14, Collections Specialist ,Westminster, CO,Current Employee, more than 3 years
77,Best Place to Work,5.0,"All about:
Furthering your education
Work/life balance
opportunity for advancement",Love working her so no cons,Be the first to find this review helpful,2020-11-09, Senior Stock Plan Administrator ,Plano, TX,Current Employee, more than 8 years
78,Not for everyone,2.0,Diverse culture and positive support,Scheduling and consistent workload increases,Be the first to find this review helpful,2020-11-06, Client Care Specialist ,Westminster, CO,Former Employee,
79,Great,5.0,Flexible schedule great pay and benefits,Stressful demanding and a lot of changes,Be the first to find this review helpful,2020-11-06, Senior Recovery Specialist ,Cincinnati, OH,Current Employee,
80,Great Culture,4.0,Alliance Data focuses heavily on creating a fantastic culture for its employees. It was a great place to work.,Executive leadership has changed. I’m not sure how this has impacted the culture.,Be the first to find this review helpful,2020-10-27, Senior Program Manager ,Plano, TX,Former Employee, more than 1 year
81,Company going thru lot of changes,3.0,Till now good work culture,Many changes at Sr leadership level and company direction.,Be the first to find this review helpful,2020-10-25, Senior DB2 Database Administrator ,Columbus, OH,Current Employee,
82,Great company to work for,5.0,Alliance Data is employee focused. Recently sold divisions of the company and still growth driven.,Recently sold divisions of the company,Be the first to find this review helpful,2020-10-20, Financial Systems Manager ,Plano, TX,Current Employee,
83,Work Balanced,4.0,"Great Schedule, Careers advances, Incentives, PTO",Not enough work to go around to pay everyone,Be the first to find this review helpful,2020-10-16, Collections Specialist ,Columbus, OH,Current Employee, more than 1 year
84,Flexible work,4.0,They offer very flexible schedules,Sometimes have to deal with the red tape of a big company,Be the first to find this review helpful,2020-10-14, Worker ,,,Current Employee,
85,One foot in the grave,2.0,"Wfm, pto time, semi flexible shifts","No covid program, poor old equipment, losing tons of contracts,",1 person found this review helpful,2020-10-08, Customer Service Representative ,Columbus, OH,Former Employee,
86,Good Company,4.0,"Innovative Company, Decent pay structure, technologically advanced","Collections is unavoidably horrible, extremely boring,",Be the first to find this review helpful,2020-10-06, Debt Collector ,Cincinnati, OH,Former Employee,
87,Stay away from the risk group,1.0,Flexibility and work life balance,"Internal politic is rampant. 
You are either in or not. 
People with no expertise are promoted by affinity, taking credit for the work of others and relying on their friendships with the big boss.
Too many people in management are not qualified for their role.",3 people found this review helpful,2020-10-04, Anonymous Employee ,,,Former Employee, more than 1 year
88,Bad Management,2.0,"Lots of paid time off, 6 paid holidays, solid company","Work life Balance, Management could care less about you. Jobs seem to be moving out of the country",Be the first to find this review helpful,2020-09-29, Workforce Management Analyst ,Rio Rancho, NM,Current Employee, more than 5 years
89,Fraud,1.0,Work from home availability after 6 months,"High call volume, and they do not communicate well",Be the first to find this review helpful,2020-09-25, Fraud Analyst ,,,Former Employee,
90,Decent Company,3.0,"benefits, work life balance, growth and development",Several meetings and leadership sometimes did not fully disclose the performance of the company,Be the first to find this review helpful,2020-09-23, Analyst ,Columbus, OH,Former Employee, more than 8 years
91,Decent Place to Work,4.0,Worked here for 9 years and loved it. Held several positions and learned a lot,I was completely blind sided by a huge layover.,1 person found this review helpful,2020-09-17, Associate Analyst ,,,Former Employee,
92,GreatOpportunities,5.0,Good pay based on market,High cost of benefits related to healthcare,Be the first to find this review helpful,2020-09-13, Supervisor ,,,Current Employee,
93,Job is great at first,3.0,"Benefits, PTO, Bonuses, work life balance","Stressful, boring, repetitive, management is hit or miss",Be the first to find this review helpful,2020-08-27, Collections Representative ,Milford, OH,Former Employee, more than 5 years
94,political leadership,2.0,good pay especially for new grad,really political leadership that detracted from ability to grow early in career,Be the first to find this review helpful,2020-08-25, ICE Associate ,Columbus, OH,Former Employee, more than 1 year
95,Good Place To Work,4.0,"Flexible work hours, remote opportunities",Not competitive when it comes to holiday days off,Be the first to find this review helpful,2020-08-23, Data Analyst ,Columbus, OH,Current Employee, more than 3 years
96,Best job ever,5.0,Great money great opportunity in moving up and you start with good money they are the best call center in Ohio and you can make a career out of this job,The cost of their insurance,Be the first to find this review helpful,2020-08-17, Collections Representative ,Westerville, OH,Current Employee, less than 1 year
97,If you want to make money while you find a worth it job go ahead,1.0,Easy money two slices of pizza for first day of training,There all over the place the managers don’t do there job any mistake you make will be noticed racist towards people with accents,1 person found this review helpful,2020-08-13, Anonymous Employee ,,,Former Employee, less than 1 year
98,Stressful,3.0,They provided good benefits and flexible schedule,"Low starting pay , lack of growth , unrealistic goals expected to be met and inequality in pay.",Be the first to find this review helpful,2020-08-13, Debt Collector ,,,Former Employee, more than 1 year
99,Good place to work,4.0,Good place to work and good salary.,No cons as such found,Be the first to find this review helpful,2020-08-10, Senior Analyst ,Bangalore,,Current Employee, more than 3 years
100,good place but expect to be let go within 2 years,4.0,bonuses and incentives; good place to start,"management are always quitting,  don't expect a clear answer ask HR.",Be the first to find this review helpful,2020-08-09, Collections Specialist ,,,Current Employee, more than 1 year
101,Not a bad company,4.0,"Pays well if you are good at it, typical call center work.","Lots of layoffs, company is losing alot of its major portfolio clients",Be the first to find this review helpful,2020-07-10, Debt Collector ,San Antonio, TX,Former Employee, more than 3 years
102,Awesome company,5.0,Benefits pay bonuses work life balance and schedule flexibility,No central hub for training opportunities,Be the first to find this review helpful,2020-07-10, Payment Solutions Specialist ,Milford, OH,Current Employee, more than 3 years
103,"Good for entry level, not for middel management",1.0,good benefits good entry level training,Middle management is forced to work excessive hours in order to be successful. Supervisors are not allowed to hold their teams accountable. Corrective action process changes on the needs of the business or the sites attrition rate.,1 person found this review helpful,2020-07-08, Supervisor ,San Antonio, TX,Former Employee, more than 8 years
104,Sucks,2.0,Good benefits better than many,Too much upper management not enough hands on workers,Be the first to find this review helpful,2020-07-07, Accounts Payable ,West Chicago, IL,Former Employee, more than 8 years
105,Great company in many ways,4.0,"Incredible people, good benefits, comprehensive training.",Female leaders consistently received feedback on their faces (looking intimidating/unapproachable) and male leaders did not. Leadership workload and audit process is unrealistic.,Be the first to find this review helpful,2020-06-12, Coach/Supervisor ,Westminster, CO,Former Employee, more than 5 years
106,Meh,5.0,Pretty good company to work with.,None to note. Everything is well.,Be the first to find this review helpful,2020-05-24, Customer Service Representative ,Blacklick, OH,Former Employee, more than 1 year
107,Don't care about technology workers,2.0,Lots of challenging and interesting projects going on,"Likely to work you like a dog
advice is often ignored
Don't have a clear technology strategy",Be the first to find this review helpful,2020-05-06, Senior Security Engineer ,Dallas, TX,Former Employee, more than 1 year
108,Deteriorating Culture,3.0,Clearly articulate future vision to employees through all communication channels,Lack strategic framework to bring vision to life; lean on the back of the customer to generate income that is easily handed to the client or the BOD/Upper Management,Be the first to find this review helpful,2020-04-07, Sales Manager ,,,Former Employee,
109,A business in transition under new leadership,3.0,"Talented people, decent culture, great corporate citizen, highly engaged associates","History of short term focus, lack of planning or investment, and bureaucratic processes",Be the first to find this review helpful,2020-03-27, Director ,Columbus, OH,Former Employee, more than 8 years
110,Great team,4.0,Loved the team I worked with,Poor decisions from upper management lead to several lay offs,Be the first to find this review helpful,2020-03-27, New Business Associate ,,,Former Employee,
111,Favoritism At It's Finest,1.0,Good Pay. Interesting Work at Times. Office Snacks.,Favoritism. Lack of Logic. ZERO ROOM FOR GROWTH UNLESS YOU BACKSTAB THE RIGHT PEOPLE.,2 people found this review helpful,2020-03-19, Partnership Manager ,,,Former Employee, more than 3 years
112,Established company,3.0,Very competitive pay; excellent work-life balance; opportunity for growth,"Comfortable with the ""status quo""; tenured employees are reluctant  of change",Be the first to find this review helpful,2020-03-11, Specialist ,,,Former Employee,
113,Fair Market Value,3.0,"Flexible schedule, weekends off, great team","Large workload, pay, poor management style",Be the first to find this review helpful,2020-03-08, Workforce Management ,Denver, CO,Current Employee, more than 3 years
114,Mixed bag,2.0,"-Little to no micromanagement
-Varied job responsibilities
-Friendly, accommodating immediate manager
-Decent pay","-Lack of transparency from senior leadership
-Lack of a discernible strategy going forward
-Archaic, neglected IT infrastructure
-Job responsibilities that do not transfer to other employers",1 person found this review helpful,2020-03-04, Software Applications Developer ,Columbus, OH,Current Employee, more than 10 years
115,Look for a different employer.,2.0,"Flexibility, good salary, nice office",Internal politics are rampant here.  Unhealthy work environment.,Be the first to find this review helpful,2020-03-03, Senior Project Manager ,Plano, TX,Former Employee, more than 5 years
116,Good place to start career,3.0,Good for a recent college grad,work life balance and low pay,Be the first to find this review helpful,2020-03-02, PMO ,Dallas, TX,Former Employee,
117,It’s changed,3.0,You can make your own schedule,Culture is a bit on edge.,4 people found this review helpful,2020-02-20, Payment Solutions ,Westerville, OH,Current Employee, more than 1 year
118,Not the best but not terrible,3.0,"Nice pay, nice facility","Vacation time is a joke, don’t try to request schedule changes they’ll always get denied unless you’re the top performer",1 person found this review helpful,2020-02-20, Customer Service Representative ,,,Current Employee,
119,Recovery - Collections,3.0,"Flexible Schedule 
Bonuses 
Easy Job",Work life balance is horrible.,1 person found this review helpful,2020-02-08, Recovery Specialist ,Westminster, CO,Current Employee, more than 5 years
