,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
34,Great culture,5.0,Great culture for learning and gain respect,Company offer better salary to new comer,Be the first to find this review helpful,2021-05-27, Anonymous Employee ,,,Current Employee,
35,Low pay for old staff,3.0,It's a reputable tech company.,The pay is low for existing insiders.,Be the first to find this review helpful,2021-05-27, Member of Technical Staff(MTS) ,Markham, ON,Current Employee,
36,Review,3.0,salary location stocks security flexibility,stressful deadlines work life balance,Be the first to find this review helpful,2021-05-26, Software Engineer ,Santa Clara, CA,Current Employee, less than 1 year
37,RTL engineer,5.0,Great place to work. work-life balance,work environment can be made better,Be the first to find this review helpful,2021-05-26, Anonymous Employee ,,,Current Employee, more than 1 year
38,Tight Budgets + Crushing Amount of Work,2.0,"Flexible work environment but you’ll be working all the time no matter where you are, free gym membership that you won’t have time to use, good training ground for newbies since everyone does 2-3 jobs, openly supports LGBTQ employees but you have to pretend you don’t have a family if you’re a mom.",AMD operates like the world’s oldest start up. Budgets are always tight with incredibly high expectations and minimal staff. You will easily clock 60-70+ hours/week and EVERYTHING will be your job from high level strategic customer meetings/presentations to ordering carpeting for vendor booths. It takes much longer to get promoted if you are female although AMD has a female CEO. Very little employee appreciation by managers because all funds are allocated to the business.,6 people found this review helpful,2021-05-26, Senior Marketing Manager ,Austin, TX,Former Employee, more than 8 years
39,Pleasant team environment and strong encouragement from management.,5.0,"1)Recognition is often given to work that is well done.
2)Team members mutually assist.","1)Can use a higher headcount to divide down the workload.
2)Base compensation can be better.",Be the first to find this review helpful,2021-05-25, Member of Technical Staff Silicon Design Engineer ,Santa Clara, CA,Current Employee, more than 8 years
40,It is a good company in flexible environment,4.0,"Flexible work hours, good interaction with global teams",Salaries will be quite to low compared to other competitors,Be the first to find this review helpful,2021-05-22, Anonymous Employee ,,,Current Employee,
41,Great Work Environment,5.0,"Friendly, Nice Work place, Good teammates, flexible work",Salary increments and promotions are competitive,Be the first to find this review helpful,2021-05-21, Software Systems Designer ,Markham, ON,Current Employee, more than 1 year
42,Great Engineering Experience,5.0,"AMD offers challenging opportunities, and flexibility in individual goals. Everyone is willing to help if you, personally, have issues, or ideas to improve the environment around you. This can, often, lead to engineers becoming talented in more than, just, ONE aspect of the job!","When new programs are rolling out, work-life-balance shifts heavily towards work.",Be the first to find this review helpful,2021-05-21, Systems Design Engineer II ,Austin, TX,Current Employee, more than 1 year
43,Great work,4.0,Challenging Work and Good Company culture,Career path visibility and retention plan,Be the first to find this review helpful,2021-05-21, Technical Manager ,,,Former Employee, more than 5 years
44,good,4.0,"dynamic, new technologies, good work environment",no time to prepare between projects,Be the first to find this review helpful,2021-05-20, Design Verification Engineer ,Roman,,Current Employee,
45,Good,5.0,Good to place to work,not found anything so far,Be the first to find this review helpful,2021-05-20, Test Engineer ,,,Current Employee,
46,AMD leading computing,5.0,Free free free free free,organization chaos organization chaos organization chaos,Be the first to find this review helpful,2021-05-20, Senior Applications Engineer ,Taipei,,Current Employee,
47,Good company to work with,3.0,Good benefit and glad to work there,Very busy work routine every day,Be the first to find this review helpful,2021-05-19, Software Engineer ,,,Former Employee,
48,Avoid Hyderabad Audio team,3.0,"Good company, top management is capable.","Bad local managers, and poor leadership practices, lacks dignity , treating employees as slaves",Be the first to find this review helpful,2021-05-18, Member of Technical Staff(MTS) ,Hyderābād,,Current Employee, more than 3 years
49,company review,4.0,"flexible, working environment, people, culture, company benefits",Do not have any comment on this,Be the first to find this review helpful,2021-05-18, Financial Analyst ,,,Former Employee,
50,Could be better,4.0,Interesting work if you are into driver development.,Low pay. Crammed office space.,Be the first to find this review helpful,2021-05-15, Software Engineer ,Markham, ON,Former Employee, less than 1 year
51,Good engineering experience but doesn't pay like other companies. Some teams have toxic culture,4.0,"Good experience, learn a lot, work on cutting edge technology","Lots of egos on design side of things 
Toxic teammates, not friendly, just there for business",Be the first to find this review helpful,2021-05-15, ASIC/Design Verification Engineer II ,Markham, ON,Current Employee, less than 1 year
52,Decent job lots of politics,2.0,Great manager who cares about his employees,Other teams are heavily political some teams are incompetent,Be the first to find this review helpful,2021-05-14, Software Intern ,Markham, ON,Former Employee, more than 1 year
53,Great Company,5.0,"Great culture, great technical learning, flexible hours",Nothing in particular to list as a con,Be the first to find this review helpful,2021-05-13, SMTS Design Engineer ,,,Current Employee,
54,Great place to work,5.0,Work Life Balance is good,Bonus allotments are improving recent times.,Be the first to find this review helpful,2021-05-13, Senior ASIC Design Engineer ,Hyderābād,,Current Employee, more than 5 years
55,Worst Company,1.0,"Product lines are superb. Thanks to their copycat chinese CEO and technology. Passionate , egoistic, arrogant engineers. Ryzen will bust the market.","Worst Managers. AMD fan boy. Think they can beat Intel, when Intel got bored of CPU long back and moved away from all these marketing techniques, once Moore's law ended. They have so many businesses that AMD can only dream of. Buying out companies is an old technique when you dont have your own expertise. Indian management is worst . They give threat to fire employees and ruin their career. People are earning double AMD engineers' money doing less challenging and so-called less meritorious tasks.",3 people found this review helpful,2021-05-12, Senior Member of Technical Staff ,Bangalore,,Former Employee, more than 5 years
56,Varies a lot by team,4.0,"Good work/life balance
Can own projects 
Creative freedom","Some teams are overworked
Lack of senior mentorship",Be the first to find this review helpful,2021-05-11, Senior Product Development Engineer ,Toronto, ON,Current Employee,
57,"Great place to work, but you may need to leave the company to get promoted",4.0,What a great iconic coming to work for. You work hard here but you learn a lot and then make sure you get what you need to do your job.,You have to fight tooth and nail to get a promotion or a raise here. If you're talented it's possible but you quickly get behind new people hired in. I was here for the dark days and I'm almost penalized for it,Be the first to find this review helpful,2021-05-10, Software Engineer (MTS) ,Austin, TX,Current Employee, more than 3 years
58,Stable position and great place to work,5.0,My bosses and peers are great to work with.,"The pay at AMD isn't as high as other places. Compared to US salaries, engineers in Canada are quite underpaid, especially considering that AMD is a US company.",1 person found this review helpful,2021-05-10, Senior Software Development Engineer ,Markham, ON,Current Employee, more than 3 years
59,Work,4.0,Good work ethics and good work environment,Salaries are not as competitive as other companies,Be the first to find this review helpful,2021-05-10, Member of Technical Staff(MTS) ,,,Current Employee,
60,Exciting time with a good CEO,5.0,"- Ramp up phase is very smooth, you are given time to pick up the knowledge
- You are empowered to plan your deliverables, at least in my team
- No micro management, at least in my team
- Technology portfolio is strong, many new products in the pipeline",- Nothing at the moment after joining AMD for a year,Be the first to find this review helpful,2021-05-09, Member Of Technical Staff ,Singapore,,Current Employee, more than 1 year
61,amd,4.0,nice and enjoyable working environment,jobs are dull and boring..less pay,Be the first to find this review helpful,2021-05-08, Electronics Engineer ,Kuala Lumpur,,Current Employee,
62,Stressful work environment,3.0,"flexible hours, WFH, good health benefits, fair pay","long work hours, lack of management support, constantly changing management, no standard process",Be the first to find this review helpful,2021-05-07, Senior Supply Cha,Analyst ,,Former Employee,
63,Great company to work for,5.0,Moves fast lot of opportunities,Benifits and stock refreshes are low,Be the first to find this review helpful,2021-05-07, MTS1 Software Engineer ,Austin, TX,Current Employee, less than 1 year
64,Constant work,2.0,Exciting growth for the company and people,Non stop work. Constant urgency. Firefighting mentality. Lots of fear of telling bad news,Be the first to find this review helpful,2021-05-05, Anonymous Employee ,,,Current Employee, more than 1 year
65,Overall good company,4.0,"Flexible work schedule, work from home opportunity",There is no cons that I have seen so far,Be the first to find this review helpful,2021-05-05, Senior Silicon Design Engineer ,Markham, ON,Current Employee,
66,Good team culture and training opportunities,4.0,"- excellent team manager
- able to take ownership of projects
- exposure to diverse range of skills","- internship did not come with benefits
- work is somewhat narrow in overall scope",Be the first to find this review helpful,2021-05-05, PEY - PDK PhyV ,Markham, ON,Former Employee, more than 1 year
67,review,5.0,Lot of good work and good to be in part of growth story/,Too much of politics for medium based company.,Be the first to find this review helpful,2021-05-04, Anonymous Employee ,,,Current Employee,
68,Good place to work,5.0,good quality of work and opportunity to learn,work life balance could be better,Be the first to find this review helpful,2021-05-04, Verification Engineer ,,,Current Employee,
69,Working at AMD,4.0,Work life balance was good previously.,Work is more now a days. And salary is low.,Be the first to find this review helpful,2021-05-04, Senior Design Engineer ,Hyderābād,,Current Employee,
70,Great company,4.0,"Good work culture, good mix of work life balance",Company performance was poor at that time,Be the first to find this review helpful,2021-05-03, Principal Hardware Engineer ,Sunnyvale, CA,Former Employee, more than 3 years
71,Suitable for fresh graduate,5.0,A people-oriented company. The culture is good.,No overtime pay for OT.,Be the first to find this review helpful,2021-05-02, Associate ,Bayan Lepas,,Current Employee, more than 1 year
72,AMD Software Systems Design,4.0,"Great workplace culture that empowers individuals
Great work-life balance
Interesting and challenging work",Salaries are lower than other big tech companies,Be the first to find this review helpful,2021-05-02, Software Systems Designer II ,Markham, ON,Current Employee, more than 3 years
73,Great CEO,4.0,Lisa has really turned the company around,Waiting for pay to become more competitive now that AMD is doing well,Be the first to find this review helpful,2021-04-29, Senior Silicon Design Engineer ,Markham, ON,Current Employee,
74,Good place to work,5.0,Flexible hours and good managers,"Average salary, no complaints though.",Be the first to find this review helpful,2021-04-28, Senior Silicon Design Engineer ,Markham, ON,Current Employee, more than 3 years
75,good to kick start your career,3.0,Great opportunities to learn and grow.,Middle management is disastrous. hard to find internal transfers if you are unhappy with your current team. Too much politics around that.,1 person found this review helpful,2021-04-25, Senior Software Engineer ,Markham, ON,Former Employee, more than 5 years
76,Company Review,4.0,"Good Company, Good Management practice",No any cons but can employ more people in india,Be the first to find this review helpful,2021-04-23, Anonymous Employee ,,,Former Employee,
77,---,5.0,Good Company Great Pay Satisfied,No complains nothing to say more,Be the first to find this review helpful,2021-04-23, Senior Software Engineer ,Bangalore,,Current Employee,
78,Poorly managed organization,1.0,"Profit Sharing, Health Insurance, and general benefits.","everything else. things look to be turning.. but at the time, there was no vision.
people running the show have no vision either, more reactionary",2 people found this review helpful,2021-04-22, Platform Engineer ,Austin, TX,Former Employee, more than 3 years
79,amd,3.0,good good good good bonus,long work hours and stressful,Be the first to find this review helpful,2021-04-22, Project Manager ,Austin, TX,Current Employee,
80,Good company to work at,4.0,AMD growing rapidly and has a great business outlook,Compensation not upto the mark,Be the first to find this review helpful,2021-04-20, Firmware Engineer ,Austin, TX,Current Employee, more than 1 year
81,Sr Staff Engineer,5.0,"Good pay, good brand, good work","Work pressure, little unstability in terms of business future / re-organization",Be the first to find this review helpful,2021-04-19, Senior Staff Engineer ,,,Former Employee,
82,Great place to explore and use your engineering creativity,5.0,"- Cutting Edge Technology
- Lots of opportunity to explore things you are interested in
- Flexible work schedules","Doing good work sometimes means helping with things that aren't going as well, but that is most engineering jobs.",Be the first to find this review helpful,2021-04-18, Anonymous Employee ,Boxborough, MA,Current Employee, more than 1 year
83,Great company,4.0,Exciting and cutting edge work,Gets a bit too hectic at times,Be the first to find this review helpful,2021-04-17, Senior Silicon Design Engineer ,Austin, TX,Current Employee, more than 3 years
84,Good,4.0,Good company to work at. Great work life balance,Not upto date with market,Be the first to find this review helpful,2021-04-15, Senior Software Engineer ,,,Former Employee, more than 3 years
85,Super,5.0,Culture is good and very much like one family,Work life balance is poor and it's all most bill,Be the first to find this review helpful,2021-04-15, Director ,Hyderābād,,Former Employee, more than 5 years
86,AMD,4.0,Companny is promising. management is good,Salary is not very competitive,Be the first to find this review helpful,2021-04-15, Software Development Engineer ,Markham, ON,Former Employee,
87,Good place to work,5.0,Love it good place to grow and prosper.,"Busy at times, work pretty much 24/7",Be the first to find this review helpful,2021-04-14, Manager ,Markham, ON,Current Employee, more than 8 years
88,Amazing place to work,5.0,"Good enviroment, team and co-workers",Good place to work and really no Con's,Be the first to find this review helpful,2021-04-14, Product Development Engineer ,Austin, TX,Current Employee, more than 1 year
89,Good company for new grad,3.0,Everything is good except the future,"sometimes it's too bureaucratism , you know that",Be the first to find this review helpful,2021-04-13, Senior Software Engineer ,Markham, ON,Current Employee,
90,fff,5.0,work life balance good environment,low pay and hard to be promoted,Be the first to find this review helpful,2021-04-13, Verification Engineer ,Shanghai," Shanghai, Shanghai",Current Employee,
91,good,4.0,most work friendly place in semiconductors,some times you may feel the work you are done is not satisfactory,Be the first to find this review helpful,2021-04-12, Silicon Design Engineer II ,Hyderābād,,Former Employee, more than 1 year
92,If you're going to work as an engineer on the post silicon side - beware.,2.0,"- Your experience depends on the team - you can get lucky and end up on a team that recognizes your efforts and respects work life balance. 
- Good office location - free parking and lots of restaurants near by.
- The paychecks clear.","If you're not lucky and end up on an overworked team, this is what your life will look like: 
- Low pay in comparison to other tech companies. On top of which, overtime and weekend work is the norm and there's no additional pay or time off. If you want to get some rest, which is what a weekend should be for, you will have to use your vacation time.
- The more senior employees are forced to and end up working on their vacation time as well. 
- Will not let you carry over any unused vacation time. Upper management will pick certain days of their choice when the entire company has to use their entitled vacation days. They will call this a 'recharge' day. Usually, you will end up working on these 'recharge' days too. 
- After working overtime till 8-9 pm, you will be expected to again work between 11 pm - 2 am to work with the AMD locations in a different time zone. Then you'll have to pick yourself up the next morning and start working again at 9:30 am. 
- Every once in a while you will have an 'easy week'. An easy week is 50 hours with minimal weekend work. This is very rare. 
- You will notice that the most successful people in overworked teams are usually single or divorced - this is because you will have no time to maintain any personal relationships. 
- Management knows employees are overworked and burnt out - yet will not acknowledge or do anything about it. Instead, they will add more projects, and crunch timelines even further without making any changes to address the original situation. 
- Everyone has a price but all of these cons are not worth for the low pay and low recognition you will get at the end of the day. Most engineers' base salaries are not even six figures.",4 people found this review helpful,2021-04-11, Senior Engineer ,Markham, ON,Current Employee, more than 3 years
93,Good company with growth pain,4.0,"Great strategy, portfolio, senior management","Pay is not competitive, work/life balance is a big challenge",Be the first to find this review helpful,2021-04-11, Program Manager II ,Markham, ON,Current Employee, more than 3 years
94,Endemic Micromanagement,1.0,They pay a decent salary.,Micromanagement is baked into the corporate culture,Be the first to find this review helpful,2021-04-10, ASIC Design Engineer ,Orlando, FL,Current Employee, more than 5 years
95,Rtgg,5.0,"Good environment and innovation..leadership, stock plan","Long working hours, lot of pressure",Be the first to find this review helpful,2021-04-09, Director ,Austin, TX,Current Employee,
96,Good place to work,4.0,Work is very much challenging,Nothing for the time being,Be the first to find this review helpful,2021-04-08, Senior Embedded Software Engineer ,,,Current Employee,
97,Good company for new grad,3.0,1. Work-life balance 2. Talented people,I have nothing want to say here,1 person found this review helpful,2021-04-07, Senior Software Engineer ,Markham, ON,Current Employee, more than 1 year
98,QA Engineer,5.0,Great people to work with,Not much growth beyond a point,Be the first to find this review helpful,2021-04-06, QA Engineer ,Hyderābād,,Former Employee, more than 3 years
99,Average Pay Interesting Work,2.0,"Interesting Work, Learning, Knowledgeable Colleagues","Pay is not Competitive, Lacking promotion opportunities",Be the first to find this review helpful,2021-04-06, Senior Manager ASIC Design ,Markham, ON,Former Employee, more than 10 years
100,Good interview process and people,5.0,"Big reputed company
Leaders in their market
Friendly work environment","Nothing 
To become a leader to accelerate their work environment and products",Be the first to find this review helpful,2021-04-06, Software Developer ,,,Current Employee,
101,Great place to grow professionally,4.0,"Team work, flexibility, work environment, daily learning, trainings, be yourself, recognitions.",the local/regional structure is somewhat detached from the global,Be the first to find this review helpful,2021-04-06, Marketing Specialist ,Lima," Lima Region, Lima Region",Current Employee,
102,Great company to work,4.0,"Lot of opportunities to learn. Working cultural is great, friendly",Pay is not competitive to other tech company,Be the first to find this review helpful,2021-04-06, Engineer ,Toronto, ON,Current Employee,
103,Great place to work,5.0,"Pushing the limits of computing, both in CPU and in GPU.",Lacking resources to get job done,Be the first to find this review helpful,2021-04-03, Product Management ,,,Current Employee, more than 1 year
104,good to work with,5.0,"The culture is good, easy to work with",too many layers in management team,Be the first to find this review helpful,2021-04-03, Customer Engineering ,Markham, ON,Current Employee,
105,Infinity and Beyond,5.0,The Best Semi Conductor Company in the Industry,Nothing for now at the moment,Be the first to find this review helpful,2021-04-02, Finance Operations Analyst ,Cyberjaya,,Current Employee, more than 3 years
106,Good company,3.0,Great leadership opportunity to grow,Too much politics within the team,Be the first to find this review helpful,2021-04-01, Senior Recruiter ,,,Current Employee,
107,Good place to work,4.0,"flexible work hour
bleeding edge technology
smart individuals","bureaucratic, average salary, lack of proper training",Be the first to find this review helpful,2021-03-31, Software Development Manager ,Toronto, ON,Current Employee, more than 8 years
108,Working at AMD,3.0,Challenging technical assignment that gives you good visibility and learning,Stressful work place; Low salary; No life out side of AMD; Short deadlines,1 person found this review helpful,2021-03-31, Member of Technical Staff(MTS) ,Markham, ON,Current Employee,
109,eng life,5.0,low compensation ，need more bonus or money,good life balance have great time,Be the first to find this review helpful,2021-03-31, Senior Engineer ,Markham, ON,Current Employee,
110,"Stimulating environment, great culture, but some frustrations and crunch.",4.0,You'll be working with and making meaningful contributions towards getting cutting edge technology into the market. The culture is collaborative and some of your coworkers are leaders in their area. Lots of opportunity to learn and grow while building cool stuff.,"Schedules can be pretty aggressive, and resourcing tends to be lean. Unfortunately, past crunch or missed deadlines don't always lead to institutional learning for the next project, which can be frustrating.",1 person found this review helpful,2021-03-29, Member of Technical Staff(MTS) ,Austin, TX,Current Employee, more than 8 years
111,"Fair place to work, totally dependent on the team",3.0,There are people who motivate and help in your growth,Management needs to take feedback from employees and work on it.,Be the first to find this review helpful,2021-03-28, Silicon Design Engineer II ,Bangalore,,Current Employee, more than 5 years
112,good culture,4.0,"good culture, everyone is willing to share knowledge",compensation is not very competitive,Be the first to find this review helpful,2021-03-27, SMTS - Senior Member of Technical Staff ,Boston, MA,Current Employee,
113,AMD culture,4.0,People are respectful to each,Work life balance is not easily achieved,Be the first to find this review helpful,2021-03-27, Member Of Technical Staff ,Hsinchu,,Current Employee,
114,Amd review,5.0,Visibility to industry standard and future products,Salary in Canada is not the best,Be the first to find this review helpful,2021-03-26, Silicon Design Engineer ,Toronto, ON,Current Employee,
115,awesome place to work at,5.0,- Love the culture and the product,"- nothing really, pay is somewhat below average",Be the first to find this review helpful,2021-03-25, Software Engineer II ,Markham, ON,Current Employee,
116,Great company to work,5.0,"great company to work, nice work environment",not any that I can mention,Be the first to find this review helpful,2021-03-23, Member of Technical Staff(MTS) ,,,Current Employee,
117,Great company to work with,4.0,good reward and opportunities all the time,very stringent deadlines and so is the pressure to deliver,Be the first to find this review helpful,2021-03-22, Staff Hardware Engineer ,Austin, TX,Current Employee, more than 1 year
118,Benefit,4.0,Good coworkers and managers good office,No promotion on the horizon,Be the first to find this review helpful,2021-03-22, Tester ,Houston, TX,Former Employee, less than 1 year
119,amd horrible,1.0,amd is good for nothing. You want to bonded labour join amd,MMIP group is big joke. mediocre management. Full of politics. Procrastinating to canada,Be the first to find this review helpful,2021-03-22, Member of Technical Staff(MTS) ,Hyderābād,,Former Employee, more than 3 years
120,Good,4.0,Good and care about employees,Good That they give employee time to learn,Be the first to find this review helpful,2021-03-21, Finance Manager ,Singapore,,Current Employee,
121,overloadef,4.0,high tech company and always has projects,over time working with no compensation,Be the first to find this review helpful,2021-03-20, Member of Technical Staff(MTS) ,,,Current Employee,
122,The place to be,5.0,"The first time in my career I am feeling empowered by the team spirit!
The difference is in the  management, the autonomy & the kindness .",You'd better be passionate otherwise you won't be able to cop with the pace of innovation,Be the first to find this review helpful,2021-03-20, Sales ,Paris,,Current Employee, less than 1 year
123,Amazing support during pandemic,5.0,"fair compensation, motivated team, growth orientated",playing catch up in gpu industry,1 person found this review helpful,2021-03-19, Senior Software Engineer ,,,Current Employee, more than 1 year
124,Great place to work,4.0,Really strong growth and excellent potential for more.,Need to hire more people to handle the work load.,Be the first to find this review helpful,2021-03-19, SMTS - Senior Member of Technical Staff ,Austin, TX,Current Employee, more than 8 years
125,Good to join,4.0,Strong executive leader ship top make company strong,Not competitive salary to the team,Be the first to find this review helpful,2021-03-19, FAE Manager ,Taipei,,Current Employee, more than 3 years
126,Good Work,5.0,"Flexible timings, best compensation and other benefits","loads of work, no personal time",Be the first to find this review helpful,2021-03-19, Senior Program Management Analyst ,Hyderābād,,Current Employee, more than 10 years
127,AMD Strong,4.0,"Culture, Benefits, Salary, Giving Back",There are not any cons,Be the first to find this review helpful,2021-03-18, Product Manager ,Austin, TX,Current Employee, more than 5 years
128,Excellent place to work,5.0,"Great people to work with, great benefits which include 401K matching",salary is sometimes on the lower end of the spectrum,Be the first to find this review helpful,2021-03-17, Senior Design Verification Engineer ,Santa Clara, CA,Current Employee, more than 5 years
129,Eh,4.0,"Good working hours, good management","Bad compensation package, old office space",Be the first to find this review helpful,2021-03-17, Member of Technical Staff(MTS) ,Boxborough, MA,Current Employee,
130,Overall great company,4.0,- Lots to learn and gain lots of great experience,"- Lower compensation than some other companies
- Can be stressful at crunch times",Be the first to find this review helpful,2021-03-16, Software Engineer ,Markham, ON,Current Employee,
131,good company,4.0,there is clear work ownership,the workload can be very heavy and there is no compensation for the hours put in over night with other time zones.,Be the first to find this review helpful,2021-03-16, Senior Product Development Engineer ,Austin, TX,Former Employee,
