,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
58,"Okay semiconductor company in Philippines, but not the best.",3.0,"Allegro Microsystems Philippines Inc., or AMPI in short, has been around in the Philippines since the 1970s and has been the company's lone assembly and test site until the opening of AMTC or Allegro Thailand last May 2015. As for the pros:

- provides the benefits that most semicon companies in the Philippines offers, like rice subsidy, yearly bonus, meal allowance, shuttle, hmo, paid leaves, retirement plan,incremental yearly increase. also provides the govt mandated benefits like OT pay, night differential, 13th month pay
- good working environment, nice people. not selfish in sharing knowledge and skills
- good working and learning experience for fresh graduates
- provides inhouse trainings and seminars
- for shifting personnel, the work schedule is 5 working days and 2 leaves for 12 hours. Looking at a positive perspective, this is good for those who want to earn more.
- recently, management has been very aggressive in raising the standards of the company through leaner manufacturing, fast paced product innovation, organizational restructuring and updating old and dated systems to be more competitive

In summary, AMPI is a very good training and starting ground for technicians and engineers alike who would want to specialize in a multinational semiconductor industry. The compensation is more or less just right for those who have 3 years or less of working experience, plus the environment is good and not stress-filled.","As I have been with two other multinational semiconductor companies who can be considered as more or less a direct competitor to AMPI for a short time, I have noticed the ff:

- benefits that are being offered in AMPI are far LESS than what they are offering in other top semiconductor companies in Philippines. In some cases, bonuses and subsidies are two times less here vs. others. Allowances and paid leaves of other semicon companies are also better than AMPI. Yearly increase are also so small it is almost negligible
- trainings, despite being good, leaves a lot to be desired
- lunch hours are not paid. non shifting personnel are are required to be at the office for 52.5 hours a week or roughly 10.5 hours per day
- for shifting personnel, the work schedule is 5 working days and 2 leaves for 12 hours. Looking at a negative perspective, this schedule can prove to be quite exhausting. Some companies follow a 4 working day, 3leave schedule with no personnel working for more than 60 hours per week - something that AMPI does not provide.
- internal job opportunities is so limited that there is only a small room for professional growth here
- despite the management efforts to transform the company into a competitive one, I believe that the road is still a long and winding one partly due to the Herculean task of tearing down the old ways of thinking that wass ingrained in the company for a long time. I doubt that it will ever become the best in its class here

In summary, if you are a potential employee with 3 years or more of working experience in the semiconductor industry, you may find the compensation package and the opportunities for growth here to be a bit below what is expected, although you may want to consider this company if you are applying for an exempt position.",1 person found this review helpful,2015-06-29, Engineer ,Manila," Manila, Manila",Current Employee, more than 1 year
59,Development Product Engineer,2.0,Good training ground for fresh grads.,Irregular promotion and evaluation timelines,1 person found this review helpful,2015-04-28, Anonymous Employee ,,,Former Employee,
60,Good experience for fresh grads but career growth is slow.,3.0,Lenient to working students.,"You can't expect yearly salary increases. And if it does, increase is minimal.",1 person found this review helpful,2015-04-26, Anonymous Employee ,,,Former Employee,
61,Product Engineer,5.0,Growing company with good management. Lots of opportunity for career growth.,Nothing major. Very happy with Allegro.,1 person found this review helpful,2015-04-22, Product Engineer ,Manchester, NH,Current Employee,
62,People are very nice here and the working environment is very comfortable,4.0,Good management; fair work opportunities;,Aggressive schedules; moderate/below average pay,3 people found this review helpful,2015-03-17, Design Verification Engineer ,Manchester, NH,Current Employee, more than 1 year
63,System engineer,5.0,worldwide best hall sensor expert company,very stable good enviroment. and good work life balance,Be the first to find this review helpful,2014-11-11, Systems Engineer ,Worcester, MA,Current Employee, more than 5 years
64,Product engineer,4.0,Good management; fair work opportunities;,Aggressive schedules; moderate/below average pay,Be the first to find this review helpful,2014-10-10,  ,,,Current Employee,
65,Great company for work-life balance,4.0,"I have worked in the NH design center:
1) Hours aren't as intense as in competitors. You are asked to work harder during peak periods, but in general pace is a tad slower.
2) When things go wrong, projects get delayed, company asks how it can help you rather than beat you over the head.
3) Company isn't public, nor bleeding edge, so attracting talent is difficult. If you are talented, the company will do everything it can to retain you.
4) Although this is group dependent, I found the people working there very personable and friendly.
5) Great place to learn out of school or if you consider yourself ""hot-stuff"" and want an opportunity to lead.","1) Not a public company, not working on bleeding edge. 
2) Main customers are Japanese automotive manufacturers which are very demanding and scrutinize everything but the organization isn't sized correctly to meet all their demands. 
3) As in every company of this size, internal politics exist in the upper management. Not the worst I've seen, but if you're not in a core group or politically aligned group, can be frustrating.
4) Company in general is reactive (and they do it very well) rather than proactive. You need to get a counter offer/threaten to leave to get good promotion or retention perks. However, if you do and you are considered talent, they are very aggressive about it.
5) Their product definers are weak: they usually chase existing sockets rather than attack new ones. Rely on Field Apps for definitions rather than have separate product definers as in some competitors.",3 people found this review helpful,2014-10-06, Engineer ,Manchester, NH,Former Employee,
66,"Does enough to keep you here, but internal politics keep employees from progressing",4.0,"Close working relationships with peers, fair compensation, good atmosphere.  Working in New Hampshire provides a calm and clean workplace and environment outside; and no income tax.","Promotions only come to those who threaten to leave, promises made are not always kept.  A good company if you're looking for a steady paycheck and don't necessarily aspire to grow your career.",Be the first to find this review helpful,2014-07-07, Product Line Manager ,Manchester, NH,Current Employee, more than 10 years
67,Lack of growth,3.0,Work atmosphere is great; some of the people are great to work with great personnel,Lack of room for growth,Be the first to find this review helpful,2014-06-23, Anonymous ,Worcester, MA,Former Employee, more than 5 years
68,Very political..Very Hostile Working Inviroment,1.0,Most of employess are friendly,Very bad management. They don't value the employee hard work and contribution. All they care about is producing more products which don't work properly and which will require more service..,2 people found this review helpful,2014-06-13,  ,,,Current Employee,
69,Excellent.,4.0,Senior management really walk the talk in the culture and values that they instill to their staff. Plus they put great emphasis on training.,Management structure is flat. It would be a sure morale booster for aspiring and deserving employees for their respective career path.,Be the first to find this review helpful,2014-02-07, Section Manager ,Manila," Manila, Manila",Former Employee, more than 10 years
70,product engineer,3.0,A good learning place for fresh graduates,Low Salary. Low Benefits.  Not much social life.,1 person found this review helpful,2014-02-03, Product Engineer ,Worcester, MA,Former Employee, more than 3 years
71,Allegro has a good work atmosphere and if you can keep organized it ll pay you back.,3.0,"The people, the benefits, and the knowledge shared between Sr. And Jr. positions. Many employees are happy but it is obvious those who aren't and it shows in their work or interpersonal conversations.","Non-competitive salary, prioritization concerns, and lack of comparable reward for high-performance employees. There's no security to protect employees in the event where it's needed.",1 person found this review helpful,2013-12-14, Systems Engineer ,Manchester, NH,Current Employee, more than 5 years
72,in my opinion,3.0,"Its a good company ,theres great personalities ,good benefits","they need to take a closer look at the supervisors,not a good atmosphere,no laughing,attitude of superiors seriously need looking into",1 person found this review helpful,2013-11-12, Operator ,Manchester, NH,Former Employee, more than 10 years
73,Long service person seeing company change in negative manner,1.0,"Physical environment is nice.
Many solid employees.","President
Senior management team
Poor decisions
Poor communication",2 people found this review helpful,2013-10-25, Professional ,Worcester, MA,Current Employee, more than 10 years
74,"Challenging, but not too rewarding.",3.0,"This company is an industry leader in its field, and provides technical people with the opportunity to be challenged every day.","There are examples of poor communication, both in setting priorities and in planning long-term roadmaps. There is also less than ideal feedback (and rewards) to high-performance contributors.",Be the first to find this review helpful,2013-10-22, Senior Mechanical Engineer ,Manchester, NH,Current Employee, more than 3 years
75,They hire H1 visa engineers now,2.0,"Good pay, good people, a lot to learn. Enjoyed working for them. But got replaced with an H1 Visa employee","If you are an engineer, you will be replaced with an H1 immigrant worker who will work for less. They hired for 4 H1 engineers and layed off 5 americans. Managers got promoted higher.",4 people found this review helpful,2013-10-10, Anonymous Employee ,,,Former Employee,
76,It is good company for the new college grads to learn lot of things in a short period of time,3.0,Managers are supporting. Encourage innovation. Good work culture for people from different backgrounds. Variety of learning avenues are available.,Chances of promotion are very small. The promotion seems to be based more on seniority rather than talent. Lack of good decision making management. Often leads into chaos and results are procrastinated.,2 people found this review helpful,2012-10-01, Design Engineer ,Manchester, NH,Current Employee, more than 1 year
77,allegro develops the employees skill thru continue trainings on different aspects that might equip thier personnel,3.0,working at allegro is cool everyone are very friendly and easily extend thier support for continues improvement.,The salary is not competitive,Be the first to find this review helpful,2012-09-07, Assembly Equipment Engineer ,Manila," Manila, Manila",Current Employee, more than 10 years
78,Very ruthless management,2.0,Working environment is fine but do not know when will be sudden death for no reason.,"Ruthless management, can fire people anytime. very very unsafe employment.",2 people found this review helpful,2012-04-24,  ,,,Former Employee,
79,Increase my professional skill-set while giving me good and relevant experience within the field.,4.0,Efficient and sound corporation that is ran by professional people that care about their employees and their progression as professionals.,The owner called Sanken is very stringent on the operations that are conducted at Allegro and sometimes the company growth is determined by their standards.,Be the first to find this review helpful,2011-05-22, Financial Analyst ,Manchester, NH,Former Employee,
